request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,9529.682836872,9529.683806192,9529.6838255,9529.714743308,9530.591648972,254,118,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000001,1,interactive,9530.182836872,9530.183554509,9530.183597605,9530.20410893,9530.57540492,198,49,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000002,2,batch,9530.682836872,9530.684184906,9530.684244691,9530.70258478,9532.549997416,892,254,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000003,3,interactive,9531.182836872,9531.183940809,9531.183978217,9531.202196117,9531.601721796,118,55,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000004,4,batch,9531.682836872,9531.683018128,9531.683055053,9531.703334523,9532.670349719,2046,131,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000005,5,batch,9532.182836872,9532.183104864,9532.183130963,9532.203256271,9534.080562043,1040,257,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000006,6,batch,9532.682836872,9532.683170816,9532.683191288,9532.706330654,9535.289778287,589,365,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000007,7,batch,9533.182836872,9533.18330268,9533.183366747,9533.204051606,9535.737819552,578,364,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000008,8,interactive,9533.682836872,9533.683081724,9533.683109364,9533.701499475,9534.067412387,94,54,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000009,9,interactive,9534.182836872,9534.183185475,9534.183208698,9534.202448448,9534.493931082,68,44,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000010,10,batch,9534.682836872,9534.683857954,9534.683892309,9534.707362973,9536.969401459,611,323,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000011,11,batch,9535.182836872,9535.183292732,9535.183318807,9535.206065898,9536.681798026,1163,211,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000012,12,interactive,9535.682836872,9535.683342509,9535.683369962,9535.703503368,9536.04483619,249,51,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000013,13,batch,9536.182836872,9536.183916566,9536.183937994,9536.206818064,9538.78271682,798,352,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000014,14,interactive,9536.682836872,9536.683005671,9536.68302003,9536.702792737,9537.292689983,248,83,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000015,15,batch,9537.182836872,9537.183173171,9537.183204807,9537.202427419,9539.36712329,541,294,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000016,16,batch,9537.682836872,9537.683623853,9537.683646519,9537.705910891,9540.338556733,945,352,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000017,17,batch,9538.182836872,9538.183905674,9538.183931592,9538.208788448,9539.233603044,719,139,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000018,18,batch,9538.682836872,9538.683758115,9538.782727134,9538.804451961,9541.433282112,1973,352,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000019,19,interactive,9539.182836872,9539.183547174,9539.233613556,9539.255654101,9539.822249594,92,76,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000020,20,interactive,9539.682836872,9539.683289923,9539.683312594,9539.705948281,9540.674856433,137,127,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000021,21,interactive,9540.182836872,9540.183675355,9540.183698482,9540.206797206,9540.460795559,157,34,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000022,22,interactive,9540.682836872,9540.683856695,9540.683875229,9540.704203082,9541.283219544,255,79,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000023,23,batch,9541.182836872,9541.183194606,9541.183235301,9541.206641636,9544.065379122,1132,390,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000024,24,batch,9541.682836872,9541.683650712,9541.683669639,9541.70155929,9543.916533622,967,296,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000025,25,interactive,9542.182836872,9542.183467933,9542.183491238,9542.204553809,9542.632291538,67,57,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000026,26,interactive,9542.682836872,9542.683878062,9542.683905812,9542.706648374,9543.550220835,197,113,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000027,27,batch,9543.182836872,9543.183412428,9543.183437803,9543.209441586,9545.923602975,1957,359,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000028,28,batch,9543.682836872,9543.682955872,9543.682977307,9543.705435495,9544.660869714,700,128,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000029,29,interactive,9544.182836872,9544.183229161,9544.18326216,9544.206092504,9544.590059946,193,52,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000030,30,batch,9544.682836872,9544.683345164,9544.683375197,9544.705702654,9546.225062786,1279,200,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000031,31,interactive,9545.182836872,9545.183899024,9545.183923447,9545.20341194,9545.779350707,213,76,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000032,32,batch,9545.682836872,9545.683803991,9545.683830633,9545.702691284,9548.659619789,1071,390,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000033,33,batch,9546.182836872,9546.183074089,9546.183102891,9546.202319682,9548.566578083,994,312,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000034,34,interactive,9546.682836872,9546.683368063,9546.683394896,9546.704364572,9547.294394785,95,79,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000035,35,batch,9547.182836872,9547.183769279,9547.183795459,9547.203120242,9549.335436817,1493,281,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000036,36,interactive,9547.682836872,9547.682872643,9547.68289527,9547.705098335,9548.386058306,165,90,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000037,37,batch,9548.182836872,9548.183112792,9548.386069519,9548.407841302,9551.088955975,1575,352,success,,fcfs,88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
