request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,9732.55134397,9732.552307811,9732.552334254,9732.570872186,9733.459162565,254,118,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000001,1,interactive,9733.05134397,9733.051583484,9733.051613287,9733.077965239,9733.467219049,198,49,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000002,2,batch,9733.55134397,9733.55171502,9733.551742408,9733.569193557,9735.691142193,892,254,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000003,3,interactive,9734.05134397,9734.052075508,9734.052105437,9734.078542016,9734.541090448,118,55,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000004,4,batch,9734.55134397,9734.551578935,9734.551611863,9734.57349716,9735.674261717,2046,131,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000005,5,batch,9735.05134397,9735.051675715,9735.051717638,9735.074342747,9737.218262717,1040,257,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000006,6,batch,9735.55134397,9735.552167982,9735.552200566,9735.573046668,9738.937733813,589,405,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000007,7,batch,9736.05134397,9736.05199129,9736.052030881,9736.073362179,9739.095853459,578,364,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000008,8,interactive,9736.55134397,9736.552253868,9736.552281043,9736.580277281,9737.026955492,94,54,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000009,9,interactive,9737.05134397,9737.05224749,9737.052269547,9737.075856797,9737.434628206,68,44,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000010,10,batch,9737.55134397,9737.551895124,9737.551919162,9737.573963663,9740.485670099,611,351,success,,slo_aware,b0899d1d1d1b507738d621b530b22490c10db54c217c2c7d4a7ee1f9668034da,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
