request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,9631.301700602,9631.307824531,9631.30783893,9631.329472169,9632.160418535,254,118,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000001,1,interactive,9631.801700602,9631.802172674,9631.802201688,9631.825622075,9632.16785874,198,49,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000002,2,batch,9632.301700602,9632.303333206,9632.303367653,9632.321251627,9634.172876804,892,254,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000003,3,interactive,9632.801700602,9632.802191894,9632.802218574,9632.824951973,9633.228073327,118,55,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000004,4,batch,9633.301700602,9633.302500892,9633.30252485,9633.323361024,9634.282800345,2046,131,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000005,5,batch,9633.801700602,9633.802251889,9633.802287342,9633.82514075,9635.694355539,1040,257,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000006,6,batch,9634.301700602,9634.302278413,9634.302296076,9634.324438661,9636.906349789,589,358,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000007,7,batch,9634.801700602,9634.802213845,9634.802242595,9634.824840941,9637.351922767,578,352,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000008,8,interactive,9635.301700602,9635.30233429,9635.302371602,9635.323604552,9635.708264001,94,54,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000009,9,interactive,9635.801700602,9635.802503497,9635.80254352,9635.822287802,9636.133478264,68,44,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000010,10,batch,9636.301700602,9636.302312329,9636.302345451,9636.324479002,9638.823229637,611,348,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000011,11,batch,9636.801700602,9636.80220818,9636.802243584,9636.82689569,9638.338789841,1163,211,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000012,12,interactive,9637.301700602,9637.302187567,9637.302212604,9637.321620713,9637.684467321,249,51,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
request-000013,13,batch,9637.801700602,9637.802478412,9637.802502083,9637.819508816,9640.346546935,798,352,success,,static_priority,4ff1c8dede7ebdf4f3bdb2b54d741c91166761180393de7db5409692cf149b0d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=88aa679d35e867b6617e0c50386db91955afe5ca78679fe504dccda3ba70c68e;vllm=unavailable;torch=unavailable
