request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,5892.981247763,5892.982794216,5892.982815368,5893.006154075,5894.065574286,254,118,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000001,1,interactive,5893.647914429667,5893.648140194,5894.065590819,5894.088971844,5894.529740783,198,49,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000002,2,batch,5894.314581096333,5894.315075903,5894.529765966,5894.555354315,5896.879080399,892,254,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000003,3,interactive,5894.981247763,5894.982016423,5896.87909928,5896.902754875,5897.392145695,118,55,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000004,4,batch,5895.647914429667,5895.649041931,5897.392163056,5897.415145516,5898.610793237,2046,131,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000005,5,batch,5896.314581096333,5896.314973981,5899.523661044,5899.545301426,5901.914038304,1040,257,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000006,6,batch,5896.981247763,5896.981549332,5903.148305433,5903.170209621,5907.100237381,589,423,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000007,7,batch,5897.647914429667,5897.648768091,5911.616080025,5911.637643397,5915.060736212,578,364,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000008,8,interactive,5898.314581096333,5898.314998694,5898.610820884,5898.635007047,5899.114918759,94,54,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000009,9,interactive,5898.981247763,5898.981962378,5899.11493488,5899.136644861,5899.523645532,68,44,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000010,10,batch,5899.647914429667,5899.648896991,5917.824744365,5917.848117101,5921.459492692,611,388,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000011,11,batch,5900.314581096333,5900.315195028,5921.954969509,5921.977552306,5923.916105711,1163,211,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000012,12,interactive,5900.981247763,5900.981815543,5901.914080639,5901.93787669,5902.384337112,249,51,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000013,13,batch,5901.647914429667,5901.648205381,5933.638575322,5933.660865609,5936.966106629,798,352,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000014,14,interactive,5902.314581096333,5902.315144477,5902.384354212,5902.406278049,5903.148288825,248,83,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000015,15,batch,5902.981247763,5902.981969202,5937.779908155,5937.801874613,5940.547874189,541,294,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000016,16,batch,5903.647914429667,5903.648628201,5940.54791025,5940.570839519,5944.3304319,945,400,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000017,17,batch,5904.314581096333,5904.314703039,5944.330455876,5944.35189306,5945.620628889,719,139,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000018,18,batch,5904.981247763,5904.982168798,5945.620651953,5945.642901121,5949.653914254,1973,421,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000019,19,interactive,5905.647914429667,5905.648084508,5907.10025757,5907.122285548,5907.797500162,92,76,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000020,20,interactive,5906.314581096333,5906.315510649,5907.797535098,5907.820414687,5908.988186605,137,127,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000021,21,interactive,5906.981247763,5906.982186858,5908.988208622,5909.011362126,5909.304601364,157,34,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
request-000022,22,interactive,5907.647914429667,5907.64904731,5909.304621023,5909.329318248,5910.043075606,255,79,success,,static_priority,f52aa1f1e8a6e459a410a697fe66841383cc743e53048b39126234c4d3b5c71f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=730215aa6f0c4c11f21c87089f6bb286aa140ce32bfeb1a415dcc5b454e62fe2;vllm=unavailable;torch=unavailable
