request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,11212.297010175,11212.298181083,11212.298206876,11212.31741691,11213.190940673,254,118,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000001,1,interactive,11212.630343508334,11212.630637,11212.630662443,11212.6525979,11213.020723588,198,49,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000002,2,batch,11212.963676841666,11212.964415287,11212.964440637,11212.98995844,11214.925883837,892,254,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000003,3,interactive,11213.297010175,11213.297706998,11213.297736174,11213.316654254,11213.730529453,118,55,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000004,4,batch,11213.630343508334,11213.631234091,11213.631269331,11213.653815914,11214.650077108,2046,131,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000005,5,batch,11213.963676841666,11213.964042553,11213.964070763,11213.983411444,11215.951884771,1040,257,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000006,6,batch,11214.297010175,11214.297626166,11214.297649286,11214.320510709,11216.799198695,589,323,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000007,7,batch,11214.630343508334,11214.63063628,11214.65008985,11214.672163052,11217.154350062,578,323,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000008,8,interactive,11214.963676841666,11214.96463874,11214.964663389,11214.986800418,11215.395758517,94,54,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000009,9,interactive,11215.297010175,11215.297445225,11215.3957709,11215.418029431,11215.749904532,68,44,success,,static_priority,278a350202499f4f2c3650fa09cebd242ed7b68816a3102b86716787efe42d7b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
