request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,11297.949933489,11297.950698784,11297.950714552,11297.970769767,11298.957602236,254,118,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000001,1,interactive,11298.283266822335,11298.283349448,11298.283376205,11298.307712841,11298.719159443,198,49,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000002,2,batch,11298.616600155667,11298.617138735,11298.617167858,11298.641143354,11300.810996049,892,254,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000003,3,interactive,11298.949933489,11298.950736408,11298.950770398,11298.973781601,11299.435230299,118,55,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000004,4,batch,11299.283266822335,11299.283527055,11299.283560499,11299.306395738,11300.42463313,2046,131,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000005,5,batch,11299.616600155667,11299.616887349,11299.616915383,11299.638935736,11301.84266884,1040,257,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000006,6,batch,11299.949933489,11299.950099435,11299.950130235,11299.973922745,11302.932272883,589,359,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000007,7,batch,11300.283266822335,11300.283572684,11300.424650381,11300.449771617,11303.028737123,578,317,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000008,8,interactive,11300.616600155667,11300.617101576,11300.811017274,11300.836322381,11301.297951572,94,54,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
request-000009,9,interactive,11300.949933489,11300.950486549,11301.297965787,11301.322729024,11301.688581402,68,44,success,,slo_aware,0fadf33b4e2ea9830270b48afd3be9273720877054155352f8324c19cfc35d56,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c7d9a7e15c7f6a0537d900cc53b04eb0e0ceb8b1074546f31fa4b0a922c42c49;vllm=unavailable;torch=unavailable
