request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,5687.732980962,5687.73419485,5687.734233665,5687.760843972,5688.879982208,254,118,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000001,1,interactive,5688.232980962,5688.233906523,5688.233943867,5688.260547865,5688.714258761,198,49,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000002,2,batch,5688.732980962,5688.73358439,5688.733628853,5688.761880117,5691.296153121,892,254,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000003,3,interactive,5689.232980962,5689.2339578,5689.23400683,5689.260689661,5689.82133853,118,55,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000004,4,batch,5689.732980962,5689.733426942,5689.73348308,5689.767030133,5691.073942636,2046,131,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000005,5,batch,5690.232980962,5690.234044928,5690.234094471,5690.266238506,5692.935108619,1040,257,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000006,6,batch,5690.732980962,5690.733077764,5690.733135953,5690.767224768,5694.296837697,589,337,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000007,7,batch,5691.232980962,5691.233375865,5691.233419512,5691.261635725,5695.020319195,578,364,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000008,8,interactive,5691.732980962,5691.733886783,5691.733941074,5691.763597847,5692.319231943,94,54,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000009,9,interactive,5692.232980962,5692.233950925,5692.319246773,5692.346488047,5692.772566696,68,44,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000010,10,batch,5692.732980962,5692.734027574,5692.772580691,5692.801182609,5696.344906003,611,352,success,,fcfs,574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
