request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,5790.42808464,5790.428904071,5790.428920724,5790.449511426,5791.532061278,254,118,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000001,1,interactive,5790.92808464,5790.928931323,5790.928960747,5790.952446586,5791.419162223,198,49,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000002,2,batch,5791.42808464,5791.428410275,5791.428436428,5791.454795688,5793.815354972,892,254,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000003,3,interactive,5791.92808464,5791.928809176,5791.928840515,5791.953146736,5792.456047914,118,55,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000004,4,batch,5792.42808464,5792.429097572,5792.429127163,5792.45569813,5793.682642945,2046,131,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000005,5,batch,5792.92808464,5792.928974669,5792.929010227,5792.958171881,5795.418616315,1040,257,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000006,6,batch,5793.42808464,5793.428640788,5793.428683034,5793.453260903,5796.552566528,589,323,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000007,7,batch,5793.92808464,5793.92833469,5793.928384295,5793.961056236,5797.386695699,578,359,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000008,8,interactive,5794.42808464,5794.428489282,5794.428518423,5794.454633322,5794.955819243,94,54,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000009,9,interactive,5794.92808464,5794.928884453,5794.955839407,5794.983952213,5795.418724479,68,44,success,,static_priority,6edb3f1092d91e7da38053fa804e39b468518b4d87d1a636783cc283eee0fe73,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
