request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,5893.789840561,5893.79067297,5893.79069021,5893.810888939,5894.751235059,254,118,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000001,1,interactive,5894.289840561,5894.290503926,5894.290546094,5894.312674646,5894.711479963,198,49,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000002,2,batch,5894.789840561,5894.790489036,5894.790535369,5894.809716982,5897.178455582,892,254,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000003,3,interactive,5895.289840561,5895.290507188,5895.290552732,5895.318108312,5895.833183617,118,55,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000004,4,batch,5895.789840561,5895.79048233,5895.790537117,5895.82281341,5897.110669981,2046,131,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000005,5,batch,5896.289840561,5896.290218304,5896.290251645,5896.318294796,5898.804797095,1040,257,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000006,6,batch,5896.789840561,5896.790741642,5896.790774016,5896.82034105,5900.382219451,589,366,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000007,7,batch,5897.289840561,5897.290072055,5897.29010365,5897.321153732,5900.871455065,578,364,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000008,8,interactive,5897.789840561,5897.790784683,5897.790830802,5897.823404212,5898.321633097,94,54,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
request-000009,9,interactive,5898.289840561,5898.290815686,5898.321655549,5898.349538084,5898.773789649,68,44,success,,slo_aware,e5db34bf4cb9d3006b872befa2589709de47675f8c3dc515ead844957b86fdee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=574faac1d005a8b719c3ea8452f3a969f10958d6a02d71de11fa53f4fa58c1de;vllm=unavailable;torch=unavailable
