request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,10550.817216086,10550.818240859,10550.818263804,10550.836825057,10551.747195995,254,118,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000001,1,interactive,10551.317216086,10551.31787937,10551.317914022,10551.342438096,10551.747183834,198,49,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000002,2,batch,10551.817216086,10551.817570535,10551.817595627,10551.835697918,10553.951195015,892,254,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000003,3,interactive,10552.317216086,10552.318164872,10552.318196571,10552.341330242,10552.789498089,118,55,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000004,4,batch,10552.817216086,10552.817819801,10552.817853721,10552.840608236,10553.995216348,2046,131,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000005,5,batch,10553.317216086,10553.317638913,10553.317667467,10553.341600864,10555.597526,1040,257,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000006,6,batch,10553.817216086,10553.818081138,10553.818111213,10553.845206868,10556.818850858,589,341,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000007,7,batch,10554.317216086,10554.317590669,10554.31761717,10554.343128748,10557.415388096,578,352,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000008,8,interactive,10554.817216086,10554.817988032,10554.81803534,10554.843689725,10555.309841928,94,54,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
request-000009,9,interactive,10555.317216086,10555.318201528,10555.318236507,10555.344374945,10555.719980965,68,44,success,,slo_aware,cd936162134558b8c8691a91fc8780bc35aba11a99db7f5d4526aa6ce1b47fbd,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0d18df2a0751f250758d97bf1f2b74d6020645c6fad4e3511ba87efca5ededa;vllm=unavailable;torch=unavailable
