request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,3105.717610849,3105.718309951,3105.718323026,3105.742895064,3106.651810245,254,118,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000001,1,interactive,3107.717610849,3107.719209394,3107.719266898,3107.738861358,3108.097485492,198,49,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000002,2,batch,3109.717610849,3109.720097831,3109.720131462,3109.738106981,3111.700838266,892,254,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000003,3,interactive,3111.717610849,3111.718200164,3111.718299576,3111.734874616,3112.155696566,118,55,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000004,4,batch,3113.717610849,3113.718072493,3113.718120386,3113.73794258,3114.790595832,2046,131,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000005,5,batch,3115.717610849,3115.718254114,3115.718293471,3115.736873857,3117.842738388,1040,257,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000006,6,batch,3117.717610849,3117.717960113,3117.717983707,3117.740674459,3121.309104782,589,459,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000007,7,batch,3119.717610849,3119.718180095,3119.718208508,3119.738164593,3122.356350282,578,364,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000008,8,interactive,3121.717610849,3121.718462509,3121.718493713,3121.741384214,3122.121584183,94,54,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000009,9,interactive,3123.717610849,3123.718587019,3123.718639101,3123.737182068,3124.026652525,68,44,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000010,10,batch,3125.717610849,3125.718513097,3125.718564242,3125.737402667,3128.501687507,611,388,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000011,11,batch,3127.717610849,3127.71845589,3127.718480261,3127.740664689,3129.252779353,1163,211,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000012,12,interactive,3129.717610849,3129.718481893,3129.718516579,3129.737799255,3130.080981948,249,51,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000013,13,batch,3131.717610849,3131.717897104,3131.717937765,3131.737008664,3134.244443927,798,352,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000014,14,batch,3133.717610849,3133.718092322,3133.718128498,3133.737201405,3136.172812536,1990,334,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000015,15,batch,3135.717610849,3135.718688963,3135.718713154,3135.742379593,3138.070343631,541,294,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000016,16,batch,3137.717610849,3137.718494522,3137.718521831,3137.741056137,3140.920951863,945,400,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000017,17,batch,3139.717610849,3139.717645422,3139.717672768,3139.741260849,3140.865203396,719,139,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000018,18,batch,3141.717610849,3141.71823337,3141.718278422,3141.737693553,3145.035534341,1973,421,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000019,19,interactive,3143.717610849,3143.718220397,3143.718252765,3143.741423752,3144.312981183,92,76,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000020,20,interactive,3145.717610849,3145.719077937,3145.719133263,3145.737617832,3146.646320503,137,127,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000021,21,interactive,3147.717610849,3147.718128561,3147.718172871,3147.736795136,3147.984854357,157,34,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000022,22,interactive,3149.717610849,3149.719678812,3149.719737949,3149.738667418,3150.327734698,255,79,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000023,23,batch,3151.717610849,3151.718238032,3151.718290072,3151.737265374,3154.812697904,1132,427,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000024,24,batch,3153.717610849,3153.717713918,3153.717735688,3153.744896753,3155.903256503,967,296,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000025,25,batch,3155.717610849,3155.71849198,3155.718516931,3155.743266788,3157.342277131,539,229,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000026,26,interactive,3157.717610849,3157.719016779,3157.719052901,3157.737167714,3158.524984793,197,113,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000027,27,batch,3159.717610849,3159.719253084,3159.719299323,3159.738362326,3162.783622344,1957,417,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000028,28,batch,3161.717610849,3161.71847636,3161.718501743,3161.736475472,3162.696499671,700,128,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000029,29,interactive,3163.717610849,3163.718373864,3163.718428487,3163.73801543,3164.132781813,193,52,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000030,30,batch,3165.717610849,3165.718740303,3165.718791881,3165.737889065,3167.237276116,1279,200,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000031,31,interactive,3167.717610849,3167.718486646,3167.718525725,3167.73707096,3168.319464667,213,76,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000032,32,batch,3169.717610849,3169.71824132,3169.718301045,3169.737991556,3172.67542432,1071,390,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000033,33,batch,3171.717610849,3171.717927283,3171.717955321,3171.740556853,3174.054462679,994,313,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000034,34,interactive,3173.717610849,3173.718679143,3173.718701254,3173.736526414,3174.303427958,95,79,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000035,35,batch,3175.717610849,3175.718650745,3175.718693354,3175.737258442,3177.81829092,1493,281,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000036,36,interactive,3177.717610849,3177.717930063,3177.717951631,3177.740450449,3178.391035966,165,90,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000037,37,batch,3179.717610849,3179.718637119,3179.718677454,3179.737195749,3182.862684242,1575,428,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000038,38,batch,3181.717610849,3181.718621503,3181.718643172,3181.736518216,3183.52256114,1975,245,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000039,39,batch,3183.717610849,3183.718573474,3183.718607869,3183.736703897,3185.710839509,882,276,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000040,40,interactive,3185.717610849,3185.718135106,3185.71817944,3185.733974966,3186.091763461,107,52,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000041,41,batch,3187.717610849,3187.720114701,3187.720169318,3187.738698216,3190.858691035,1579,427,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000042,42,batch,3189.717610849,3189.718413579,3189.718435413,3189.741902188,3191.978889408,1568,303,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000043,43,batch,3191.717610849,3191.718200906,3191.718222104,3191.742636993,3192.684260835,518,134,success,,static_priority,270659175a66a21f8b850b7bbc93a34d6f5bc26e93fac43e52d8aa3486f01a0c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
