request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,3493.036341431,3493.037248709,3493.037276635,3493.056395691,3493.88764532,254,118,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000001,1,interactive,3495.036341431,3495.037104181,3495.037160235,3495.055854857,3495.39047041,198,49,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000002,2,batch,3497.036341431,3497.037405119,3497.037454029,3497.055946417,3498.91680859,892,254,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000003,3,interactive,3499.036341431,3499.037231921,3499.037262561,3499.054531882,3499.433819685,118,55,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000004,4,batch,3501.036341431,3501.037480449,3501.037526547,3501.056427088,3501.973386631,2046,131,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000005,5,batch,3503.036341431,3503.037170091,3503.037209523,3503.05610379,3504.976622582,1040,257,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000006,6,batch,3505.036341431,3505.036966131,3505.037031709,3505.054245332,3508.227024017,589,427,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000007,7,batch,3507.036341431,3507.03717127,3507.037199795,3507.055011377,3509.764839348,578,363,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000008,8,interactive,3509.036341431,3509.037043554,3509.037066885,3509.059812079,3509.45438759,94,54,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000009,9,interactive,3511.036341431,3511.037371979,3511.037446321,3511.055556355,3511.361749827,68,44,success,,slo_aware,804a7e1a3fcee1c81c1abe715e02883a04eef15e32a8b6b5e4af1a8f75ed4bbc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
