request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,4469.701045274,4469.701961982,4469.701979231,4469.724236863,4470.603816815,254,118,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000001,1,interactive,4470.367711940667,4470.368114686,4470.368148731,4470.39234301,4470.755648846,198,49,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000002,2,batch,4471.034378607333,4471.034983441,4471.035021672,4471.053358564,4473.057149099,892,254,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000003,3,interactive,4471.701045274,4471.701980854,4471.702014796,4471.723453815,4472.158324143,118,55,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000004,4,batch,4472.367711940667,4472.36794591,4472.367969627,4472.389779766,4473.430043519,2046,131,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000005,5,batch,4473.034378607333,4473.034668437,4473.034701923,4473.056861605,4475.052818365,1040,257,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000006,6,batch,4473.701045274,4473.701826763,4473.701856285,4473.721128384,4476.567700666,589,366,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000007,7,batch,4474.367711940667,4474.368071796,4474.368094515,4474.389548648,4477.183912972,578,359,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000008,8,interactive,4475.034378607333,4475.035509587,4475.035537581,4475.060322677,4475.476709444,94,54,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000009,9,interactive,4475.701045274,4475.701467874,4475.701491166,4475.725203698,4476.064250285,68,44,success,,fcfs,29ffa1e285ee2b71ecb6de101706c68c9c2067e97cee4866945a43758a13612f,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
