request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,5182.703302764,5182.704273378,5182.704295935,5182.728499955,5183.706984432,254,118,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000001,1,interactive,5183.036636097333,5183.037424551,5183.037461165,5183.060174645,5183.474507494,198,49,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000002,2,batch,5183.369969430667,5183.370909185,5183.3709406,5183.397722628,5185.667619031,892,254,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000003,3,interactive,5183.703302764,5183.704186706,5183.704216624,5183.732770168,5184.217424716,118,55,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000004,4,batch,5184.036636097333,5184.03713366,5184.037171423,5184.062240306,5185.231053084,2046,131,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000005,5,batch,5184.369969430667,5184.370899961,5184.370945741,5184.39468353,5186.693520835,1040,257,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000006,6,batch,5184.703302764,5184.703710203,5184.703744057,5184.730131864,5187.865251593,589,352,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000007,7,batch,5185.036636097333,5185.036944492,5185.231066611,5185.257855491,5188.490489495,578,364,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000008,8,interactive,5185.369969430667,5185.370568884,5185.667631713,5185.693700661,5186.166664677,94,54,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
request-000009,9,interactive,5185.703302764,5185.704017719,5186.166679902,5186.193063102,5186.578388927,68,44,success,,fcfs,c08106ce42d814cc0b6cdd4f9d160446a252466e79da1cc6c18146909df517ee,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=cfe336fe238a0088f06c1d3eb6fbf4f92a57d372b80f54a89ab880a16e5c1d93;vllm=unavailable;torch=unavailable
