request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,10927.529015548,10927.529922068,10927.529939849,10927.548804377,10928.419392943,254,118,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000001,1,interactive,10928.029015548,10928.029498268,10928.029522387,10928.055690164,10928.419382002,198,49,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000002,2,batch,10928.529015548,10928.529903726,10928.52992827,10928.547272199,10930.546527687,892,254,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000003,3,interactive,10929.029015548,10929.030060919,10929.030087843,10929.053463545,10929.487559395,118,55,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000004,4,batch,10929.529015548,10929.529503286,10929.52954929,10929.548701646,10930.585994594,2046,131,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000005,5,batch,10930.029015548,10930.029563834,10930.029591245,10930.049466027,10932.042708705,1040,257,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000006,6,batch,10930.529015548,10930.529858613,10930.529881878,10930.554053552,10933.324207865,589,359,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000007,7,batch,10931.029015548,10931.029565981,10931.029600294,10931.049725964,10933.81215314,578,358,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000008,8,interactive,10931.529015548,10931.529236713,10931.529262651,10931.553017993,10931.965581434,94,54,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
request-000009,9,interactive,10932.029015548,10932.029742934,10932.029780023,10932.050533542,10932.383285598,68,44,success,,slo_aware,78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=78d6602ac3e3bff1836b11bdf4f862119d235d199527bc153b55160ea260554b;vllm=unavailable;torch=unavailable
