request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,6118.972209404,6118.973260223,6118.97327971,6118.995743834,6120.029540245,254,118,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000001,1,batch,6119.472209404,6119.472838739,6119.472866005,6119.495401182,6121.280736372,1591,199,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000002,2,batch,6119.972209404,6119.973134108,6119.973172425,6120.001189182,6122.279027967,892,254,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000003,3,interactive,6120.472209404,6120.472995062,6120.473025525,6120.497369208,6120.983266326,118,55,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000004,4,batch,6120.972209404,6120.973041878,6120.973073737,6120.999828729,6122.169513274,2046,131,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000005,5,batch,6121.472209404,6121.47261894,6121.472657188,6121.494934569,6123.807596227,1040,257,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000006,6,batch,6121.972209404,6121.972620449,6121.972648491,6121.995491361,6125.244411676,589,352,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000007,7,batch,6122.472209404,6122.47233757,6122.472376435,6122.494803636,6125.8176938,578,359,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000008,8,interactive,6122.972209404,6122.972752194,6122.972787861,6122.996136217,6123.473857703,94,54,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000009,9,interactive,6123.472209404,6123.47247786,6123.473876816,6123.50120342,6123.897638722,68,44,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000010,10,batch,6123.972209404,6123.973134325,6123.973163106,6123.998413761,6127.287991897,611,352,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000011,11,batch,6124.472209404,6124.472340837,6124.472387705,6124.503344624,6126.46138843,1163,211,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000012,12,batch,6124.972209404,6124.972673632,6125.244431559,6125.272782697,6127.156611759,1996,205,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000013,13,batch,6125.472209404,6125.473050826,6125.81770819,6125.843632857,6128.87967191,798,352,success,,static_priority,9a240e0ca0ae874740d4391be0f3b8e5ed3198dc3cd79f63bb1fcb0ad3c66228,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
