request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,6543.871710419,6543.872906042,6543.872927546,6543.908231371,6544.986047295,254,118,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000001,1,interactive,6544.371710419,6544.37200855,6544.372044329,6544.399430034,6544.855050045,198,49,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000002,2,batch,6544.871710419,6544.872152696,6544.872178747,6544.893639759,6547.013636134,892,254,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000003,3,interactive,6545.371710419,6545.372252618,6545.372278784,6545.39702725,6545.850648676,118,55,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000004,4,batch,6545.871710419,6545.872032195,6545.872095986,6545.891527823,6547.004604413,2046,131,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000005,5,batch,6546.371710419,6546.372516624,6546.372546568,6546.394186992,6548.559548231,1040,257,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000006,6,batch,6546.871710419,6546.872742042,6546.872769004,6546.899250882,6550.797362581,589,459,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000007,7,batch,6547.371710419,6547.372619259,6547.372648767,6547.393630974,6550.475962989,578,364,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000008,8,interactive,6547.871710419,6547.872521331,6547.872551622,6547.897932105,6548.335976629,94,54,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000009,9,interactive,6548.371710419,6548.37272336,6548.37274963,6548.392915894,6548.754053937,68,44,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000010,10,batch,6548.871710419,6548.872573844,6548.872603042,6548.900444783,6551.855924697,611,348,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000011,11,batch,6549.371710419,6549.371967801,6549.372000019,6549.39891847,6551.178556021,1163,211,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000012,12,interactive,6549.871710419,6549.872574436,6550.797377519,6550.821106601,6551.235449078,249,51,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000013,13,batch,6550.371710419,6550.372155725,6550.475978044,6550.499312883,6553.512712391,798,352,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000014,14,batch,6550.871710419,6550.872432852,6551.178570058,6551.201950591,6554.09864697,1990,334,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000015,15,batch,6551.371710419,6551.372180584,6551.372209933,6551.394480064,6553.934824107,541,294,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000016,16,batch,6551.871710419,6551.872577576,6551.87260122,6551.897601918,6555.098203854,945,354,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000017,17,batch,6552.371710419,6552.372281454,6553.512729085,6553.536049662,6554.816112359,719,139,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000018,18,batch,6552.871710419,6552.871875206,6554.816135276,6554.846063426,6558.94973082,1973,421,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000019,19,interactive,6553.371710419,6553.372469557,6553.934851253,6553.963854949,6554.686882718,92,76,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000020,20,interactive,6553.871710419,6553.872186519,6554.098671909,6554.125870289,6555.366692712,137,127,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000021,21,interactive,6554.371710419,6554.371986124,6554.686908958,6554.71584615,6555.049452877,157,34,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000022,22,interactive,6554.871710419,6554.872604783,6555.049476202,6555.077679246,6555.857534658,255,79,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000023,23,batch,6555.371710419,6555.372396505,6555.372426128,6555.404597732,6559.668824083,1132,441,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000024,24,batch,6555.871710419,6555.872214572,6555.872247621,6555.897356999,6558.763147208,967,296,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000025,25,batch,6556.371710419,6556.372621918,6556.372662633,6556.404917314,6558.617372472,539,229,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000026,26,interactive,6556.871710419,6556.872478415,6559.835297738,6559.85754547,6560.768336455,197,113,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000027,27,batch,6557.371710419,6557.372734251,6558.763172938,6558.791051566,6561.894789092,1957,354,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000028,28,batch,6557.871710419,6557.872496202,6558.617391517,6558.645225853,6559.835276858,700,128,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000029,29,interactive,6558.371710419,6558.372507918,6559.668843598,6559.696855014,6560.114149078,193,52,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000030,30,batch,6558.871710419,6558.871958185,6558.949749142,6558.977488855,6560.701867347,1279,200,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000031,31,interactive,6559.371710419,6559.372074094,6560.768350679,6560.792316435,6561.495687914,213,76,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000032,32,batch,6559.871710419,6559.872430811,6560.114165438,6560.138419175,6563.342071293,1071,366,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000033,33,batch,6560.371710419,6560.372529224,6560.701884979,6560.726043864,6563.518942415,994,313,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000034,34,interactive,6560.871710419,6560.872587191,6561.495709682,6561.518325848,6562.168471111,95,79,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000035,35,batch,6561.371710419,6561.372262832,6561.894805234,6561.91912289,6564.49930604,1493,281,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000036,36,interactive,6561.871710419,6561.872840897,6562.168490959,6562.193225531,6562.992571621,165,90,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000037,37,batch,6562.371710419,6562.372882821,6562.992588401,6563.019676269,6566.442783784,1575,359,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000038,38,batch,6562.871710419,6562.871840565,6563.342087204,6563.369118367,6565.72066287,1975,245,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000039,39,batch,6563.371710419,6563.372226692,6563.51895733,6563.546022766,6566.189860121,882,276,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
request-000040,40,interactive,6563.871710419,6563.872600082,6564.499330956,6564.527035297,6565.035018636,107,52,success,,slo_aware,3181c91ea15117e53f7c872f19d8b5f4803729918a803a7a68179a67dea3d0c1,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16cf18f587e2770698857203cc38016dcb143abc05cb69206ac818c2004443ab;vllm=unavailable;torch=unavailable
