request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,25272.101007583,25272.102160588,25272.102188716,25272.128578454,25273.061083882,254,118,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000001,1,interactive,25272.434340916334,25272.434472463,25272.434514934,25272.456735333,25272.847704697,198,49,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000002,2,batch,25272.76767424967,25272.767928637,25272.767962275,25272.790203746,25274.869390123,892,254,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000003,3,interactive,25273.101007583,25273.101448056,25273.101478763,25273.123128887,25273.567277293,118,55,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000004,4,batch,25273.434340916334,25273.435015029,25273.435048566,25273.460150979,25274.530544255,2046,131,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000005,5,batch,25273.76767424967,25273.768707635,25273.768743887,25273.789806233,25275.892205119,1040,257,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000006,6,batch,25274.101007583,25274.101307493,25274.101333564,25274.126440725,25276.989193866,589,352,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000007,7,batch,25274.434340916334,25274.435381197,25274.530563864,25274.553629959,25277.174203641,578,323,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000008,8,interactive,25274.76767424967,25274.767977151,25274.869401509,25274.893422993,25275.33138174,94,54,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000009,9,interactive,25275.101007583,25275.101535362,25275.331394341,25275.355639117,25275.707452338,68,44,success,,fcfs,f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
