request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,25352.112505172,25352.113365946,25352.113390055,25352.131154673,25353.008837763,254,118,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000001,1,interactive,25352.445838505333,25352.446403728,25352.446444846,25352.46945612,25352.817443252,198,49,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000002,2,batch,25352.77917183867,25352.779690838,25352.779717998,25352.802373205,25354.942421588,892,254,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000003,3,interactive,25353.112505172,25353.113109406,25353.113155203,25353.138081619,25353.597479116,118,55,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000004,4,batch,25353.445838505333,25353.445969962,25353.445999277,25353.469293424,25354.580668649,2046,131,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000005,5,batch,25353.77917183867,25353.780092161,25353.780124528,25353.80172342,25355.866535072,1040,257,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000006,6,batch,25354.112505172,25354.11338453,25354.11341687,25354.135067418,25356.895143637,589,359,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000007,7,batch,25354.445838505333,25354.446817958,25354.580693442,25354.605899334,25357.327683679,578,364,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000008,8,interactive,25354.77917183867,25354.779713347,25354.94243539,25354.96652359,25355.38678413,94,54,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
request-000009,9,interactive,25355.112505172,25355.113150248,25355.386803348,25355.407667581,25355.720647065,68,44,success,,slo_aware,741144a108f045e786e6d0019a671fd35e3394bac09b774b0aa1e8b1dff18150,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f015abac12e3e4337f4335253a593be87a726ab4ef2d41b58a182b954ea7399a;vllm=unavailable;torch=unavailable
