request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,25001.152199537,25001.152967674,25001.152983715,25001.17402564,25002.109461759,254,118,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000001,1,interactive,25001.48553287033,25001.485581821,25001.485610433,25001.509482631,25001.900762359,198,49,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000002,2,batch,25001.818866203666,25001.819267993,25001.819302746,25001.844070349,25003.891362648,892,254,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000003,3,interactive,25002.152199537,25002.152365426,25002.152397322,25002.171942485,25002.607600094,118,55,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000004,4,batch,25002.48553287033,25002.485664548,25002.485693106,25002.509534273,25003.564874703,2046,131,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000005,5,batch,25002.818866203666,25002.819389686,25002.819423428,25002.842606878,25004.927740389,1040,257,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000006,6,batch,25003.152199537,25003.152820426,25003.152854454,25003.173343779,25005.799107489,589,323,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000007,7,batch,25003.48553287033,25003.486504265,25003.564892394,25003.588439458,25006.214348048,578,323,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000008,8,interactive,25003.818866203666,25003.820008495,25003.89137623,25003.915285539,25004.349171841,94,54,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000009,9,interactive,25004.152199537,25004.152723333,25004.349187058,25004.373058164,25004.725467951,68,44,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000010,10,batch,25004.48553287033,25004.486137936,25004.72548361,25004.748932645,25007.530876658,611,342,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000011,11,batch,25004.818866203666,25004.819919525,25004.927754634,25004.951290959,25006.663622349,1163,211,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000012,12,interactive,25005.152199537,25005.152448449,25005.799122822,25005.82266076,25006.229992209,249,51,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000013,13,batch,25005.48553287033,25005.486137724,25006.214363705,25006.237978635,25009.111037599,798,352,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000014,14,batch,25005.818866203666,25005.819449148,25006.23001241,25006.253706204,25008.980410375,1990,334,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000015,15,batch,25006.152199537,25006.1526089,25006.663639021,25006.687217034,25009.087030802,541,294,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000016,16,batch,25006.48553287033,25006.485924291,25007.530893287,25007.554588846,25010.481137662,945,359,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000017,17,batch,25006.818866203666,25006.819771609,25009.62016163,25009.643386687,25010.766776208,719,139,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000018,18,batch,25007.152199537,25007.152837023,25010.141520542,25010.165100853,25013.00216054,1973,352,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000019,19,interactive,25007.48553287033,25007.485826836,25008.980428389,25009.004361072,25009.620135581,92,76,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000020,20,interactive,25007.818866203666,25007.81914114,25009.087049922,25009.110645847,25010.14150327,137,127,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000021,21,interactive,25008.152199537,25008.152287756,25009.111054239,25009.135190744,25009.407139584,157,34,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000022,22,interactive,25008.48553287033,25008.486061303,25009.407158387,25009.430947753,25010.067915128,255,79,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
request-000023,23,batch,25008.818866203666,25008.819893484,25010.481158829,25010.504523825,25013.535413073,1132,376,success,,slo_aware,41d50459b99b11101036cb12f9303370f794e74e317439b99894252113e12594,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ea983282f6683f55320dcaa852bdf664e4671e51536f08f3891bf7274789e090;vllm=unavailable;torch=unavailable
