request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,25098.321763163,25098.322804435,25098.322822857,25098.349309914,25099.251164312,254,118,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000001,1,interactive,25098.65509649633,25098.655308366,25098.655340724,25098.680861769,25099.060862248,198,49,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000002,2,batch,25098.988429829667,25098.989112353,25098.989142021,25099.015192419,25101.027438401,892,254,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000003,3,interactive,25099.321763163,25099.322371163,25099.322403931,25099.342158381,25099.769576123,118,55,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000004,4,batch,25099.65509649633,25099.655423482,25099.65545573,25099.681394702,25100.723282708,2046,131,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000005,5,batch,25099.988429829667,25099.989013703,25099.989067968,25100.009756841,25102.057061574,1040,257,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000006,6,batch,25100.321763163,25100.322617878,25100.322643651,25100.344448695,25102.553766312,589,278,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000007,7,batch,25100.65509649633,25100.655191929,25100.723295769,25100.746275837,25103.298383437,578,323,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000008,8,interactive,25100.988429829667,25100.989013919,25101.027450395,25101.050440241,25101.475757009,94,54,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000009,9,interactive,25101.321763163,25101.322407657,25101.475768356,25101.498968425,25101.842498449,68,44,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000010,10,batch,25101.65509649633,25101.655979846,25101.842509998,25101.865774765,25104.403725097,611,323,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000011,11,batch,25101.988429829667,25101.989390435,25102.05707383,25102.079425653,25103.731183306,1163,211,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000012,12,interactive,25102.321763163,25102.322148733,25102.553778923,25102.5766591,25102.968913914,249,51,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000013,13,batch,25102.65509649633,25102.655716507,25102.968925752,25102.991820763,25105.7672885,798,352,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000014,14,batch,25102.988429829667,25102.988601569,25103.29839461,25103.321216533,25105.869860719,1990,323,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000015,15,batch,25103.321763163,25103.322427051,25103.73119582,25103.753422213,25106.07842035,541,294,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000016,16,batch,25103.65509649633,25103.655259931,25104.403737959,25104.426184197,25107.41383598,945,377,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000017,17,batch,25103.988429829667,25103.98907931,25105.767300988,25105.790218462,25106.888180556,719,139,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000018,18,batch,25104.321763163,25104.322208287,25105.869873038,25105.892938775,25108.678716375,1973,350,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000019,19,interactive,25104.65509649633,25104.655836407,25106.078432651,25106.101209636,25106.697824383,92,76,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000020,20,interactive,25104.988429829667,25104.989529701,25106.697837216,25106.720842716,25107.724564176,137,127,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000021,21,interactive,25105.321763163,25105.322049382,25106.888194167,25106.910926651,25107.174137605,157,34,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000022,22,interactive,25105.65509649633,25105.655595509,25107.174150837,25107.197482127,25107.818792639,255,79,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000023,23,batch,25105.988429829667,25105.989415549,25107.413848254,25107.436717866,25110.26402739,1132,354,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000024,24,batch,25106.321763163,25106.322394803,25107.72457719,25107.747250691,25110.111708211,967,296,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000025,25,batch,25106.65509649633,25106.655586772,25107.81880441,25107.842164077,25109.669152376,539,229,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000026,26,interactive,25106.988429829667,25106.988803827,25108.678728558,25108.702146841,25109.597553688,197,113,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000027,27,batch,25107.321763163,25107.322139455,25109.597567004,25109.620545948,25112.44295078,1957,352,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000028,28,batch,25107.65509649633,25107.65613992,25109.669165508,25109.692279419,25110.714443662,700,128,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
request-000029,29,interactive,25107.988429829667,25107.989232089,25110.11172763,25110.133943696,25110.545328942,193,52,success,,fcfs,305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=305ffa9857032d2f95afe24889dc20a11d610ef412869bf0e311328821d462ec;vllm=unavailable;torch=unavailable
