request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,11457.233755265,11457.234756262,11457.2347736,11457.253268621,11458.14440949,254,118,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000001,1,interactive,11457.567088598335,11457.568024028,11457.568051668,11457.592697928,11457.967097152,198,49,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000002,2,batch,11457.900421931667,11457.901392662,11457.901425586,11457.92734024,11459.885769859,892,254,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000003,3,interactive,11458.233755265,11458.234727795,11458.234754443,11458.255509742,11458.673449887,118,55,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000004,4,batch,11458.567088598335,11458.567576239,11458.567613758,11458.587068487,11459.598398368,2046,131,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000005,5,batch,11458.900421931667,11458.900567303,11458.900590192,11458.923840486,11460.93456309,1040,257,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000006,6,batch,11459.233755265,11459.234357057,11459.234380087,11459.257148773,11461.777158598,589,323,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000007,7,batch,11459.567088598335,11459.56802393,11459.598410629,11459.620998719,11462.415697097,578,358,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000008,8,interactive,11459.900421931667,11459.900524476,11459.900554809,11459.925947867,11460.356925578,94,54,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000009,9,interactive,11460.233755265,11460.234765308,11460.356939012,11460.379717362,11460.717138297,68,44,success,,slo_aware,1925727281d1fea98bbc28f41a2df750f5c87cc8b4077870d4abc8603283299c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
