request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,11538.216732439,11538.217499251,11538.217513284,11538.23649573,11539.13311918,254,118,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000001,1,interactive,11538.550065772333,11538.551038057,11538.55107239,11538.572819528,11538.948158789,198,49,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000002,2,batch,11538.883399105665,11538.88394486,11538.883969329,11538.908994498,11540.869181521,892,254,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000003,3,interactive,11539.216732439,11539.217468105,11539.217493856,11539.236898514,11539.65488336,118,55,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000004,4,batch,11539.550065772333,11539.550349931,11539.550377559,11539.569670621,11540.579481655,2046,131,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000005,5,batch,11539.883399105665,11539.883975318,11539.884003581,11539.90935111,11541.903301186,1040,257,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000006,6,batch,11540.216732439,11540.217078488,11540.217105364,11540.242091846,11543.001416558,589,355,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000007,7,batch,11540.550065772333,11540.551131689,11540.579495657,11540.602287497,11543.309795521,578,349,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000008,8,interactive,11540.883399105665,11540.883767279,11540.88378992,11540.907114599,11541.319621727,94,54,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000009,9,interactive,11541.216732439,11541.217198449,11541.31963415,11541.342354124,11541.678173551,68,44,success,,slo_aware,4c12a5ebc9203796633bbd1480a9ac3fca8b3496a43caa243d5eb10330f5c909,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
