request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,11624.657605666,11624.658886023,11624.658902107,11624.678902136,11625.69650189,254,118,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000001,1,interactive,11624.990938999334,11624.991744337,11624.991780862,11625.017977566,11625.444258778,198,49,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000002,2,batch,11625.324272332666,11625.324925583,11625.324954858,11625.346121531,11627.488040056,892,254,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000003,3,interactive,11625.657605666,11625.658012358,11625.658040743,11625.678616303,11626.131225138,118,55,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000004,4,batch,11625.990938999334,11625.991260943,11625.991286032,11626.017038437,11627.084463769,2046,131,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000005,5,batch,11626.324272332666,11626.325139694,11626.325170706,11626.34448461,11628.561963346,1040,257,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000006,6,batch,11626.657605666,11626.657902023,11626.657932442,11626.681116319,11629.787130738,589,355,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000007,7,batch,11626.990938999334,11626.991702278,11627.084478055,11627.109249369,11630.249681593,578,359,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000008,8,interactive,11627.324272332666,11627.325150808,11627.48805428,11627.512997463,11627.976928964,94,54,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000009,9,interactive,11627.657605666,11627.657976903,11627.976949146,11628.001130348,11628.377686606,68,44,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000010,10,batch,11627.990938999334,11627.991528424,11628.377701153,11628.40301426,11631.603025834,611,365,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000011,11,batch,11628.324272332666,11628.325324036,11628.561983584,11628.587796499,11630.434075281,1163,211,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000012,12,interactive,11628.657605666,11628.658625844,11629.787147231,11629.812262859,11630.249712173,249,51,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000013,13,batch,11628.990938999334,11628.991507685,11630.249696699,11630.275023013,11633.365138986,798,352,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000014,14,batch,11629.324272332666,11629.324534762,11630.249717804,11630.275082202,11633.205797441,1990,334,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000015,15,batch,11629.657605666,11629.658635923,11630.434090995,11630.458851507,11633.038729673,541,294,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000016,16,batch,11629.990938999334,11629.991185623,11633.038750418,11633.064094069,11636.142872433,945,352,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000017,17,batch,11630.324272332666,11630.325010259,11633.36515831,11633.390814726,11634.601769652,719,139,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000018,18,batch,11630.657605666,11630.658004303,11633.523660564,11633.549027356,11637.225745808,1973,421,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000019,19,interactive,11630.990938999334,11630.99161344,11631.603050143,11631.62799033,11632.290940789,92,76,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000020,20,interactive,11631.324272332666,11631.324357841,11632.290957773,11632.315839996,11633.42664609,137,127,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000021,21,interactive,11631.657605666,11631.658284513,11633.205818706,11633.231558479,11633.523644106,157,34,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000022,22,interactive,11631.990938999334,11631.991903931,11633.426661743,11633.452412137,11634.136408202,255,79,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000023,23,batch,11632.324272332666,11632.324604389,11635.076009326,11635.101556094,11638.29608871,1132,367,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000024,24,batch,11632.657605666,11632.658190413,11635.148253307,11635.173379698,11637.749430832,967,296,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
request-000025,25,batch,11632.990938999334,11632.991014986,11636.142891453,11636.168844384,11638.1576272,539,229,success,,slo_aware,3149767d2fd7313dd09e673008c238cee005b84fa85cb3c79e7bfe46235efffc,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=87c28aebfddf1964d879ae04c4c3941a7dff7afea9153a229b36d5dbff6f4aae;vllm=unavailable;torch=unavailable
