request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,6938.975790812,6938.976802065,6938.976826964,6938.998389484,6939.903148135,254,118,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000001,1,interactive,6939.475790812,6939.476653218,6939.476686359,6939.502658493,6939.887444363,198,49,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000002,2,batch,6939.975790812,6939.97664672,6939.976694472,6939.995668252,6942.024855896,892,254,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000003,3,interactive,6940.475790812,6940.476188619,6940.476224968,6940.496887516,6940.938140755,118,55,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000004,4,batch,6940.975790812,6940.976818848,6940.976856371,6941.000586842,6942.048612618,2046,131,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000005,5,batch,6941.475790812,6941.476853527,6941.476883729,6941.501776189,6943.550546824,1040,257,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000006,6,batch,6941.975790812,6941.976758704,6941.976792269,6942.000223306,6944.784548636,589,349,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000007,7,batch,6942.475790812,6942.476601034,6942.476630619,6942.502486364,6945.407297433,578,364,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000008,8,interactive,6942.975790812,6942.976070888,6942.976114855,6942.998627663,6943.42280192,94,54,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000009,9,interactive,6943.475790812,6943.476984587,6943.477030764,6943.502059313,6943.846412353,68,44,success,,slo_aware,3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
