request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,7145.771970879,7145.772992436,7145.773015278,7145.793176842,7146.763353907,254,118,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000001,1,interactive,7146.271970879,7146.272393917,7146.272427256,7146.295765618,7146.687717022,198,49,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000002,2,batch,7146.771970879,7146.773571162,7146.773591507,7146.790960392,7148.854496695,892,254,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000003,3,interactive,7147.271970879,7147.272948836,7147.272982523,7147.297745952,7147.744403417,118,55,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000004,4,batch,7147.771970879,7147.772877275,7147.772907736,7147.79656731,7148.830056973,2046,131,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000005,5,batch,7148.271970879,7148.272207262,7148.272247411,7148.296896295,7150.544370808,1040,257,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000006,6,batch,7148.771970879,7148.772330418,7148.772367316,7148.796573753,7152.847577273,589,459,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000007,7,batch,7149.271970879,7149.273092664,7149.273133355,7149.304329014,7152.508828895,578,359,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000008,8,interactive,7149.771970879,7149.773103811,7149.773132218,7149.799679542,7150.279886815,94,54,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000009,9,interactive,7150.271970879,7150.272318241,7150.27990037,7150.306383647,7150.696535602,68,44,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000010,10,batch,7150.771970879,7150.772280459,7150.772324692,7150.794751708,7153.789831115,611,359,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000011,11,batch,7151.271970879,7151.272896345,7151.272940592,7151.300546243,7153.073862743,1163,211,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000012,12,interactive,7151.771970879,7151.773090711,7153.07387609,7153.096515638,7153.486384478,249,51,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000013,13,batch,7152.271970879,7152.273162025,7152.50884288,7152.531402193,7155.304697236,798,352,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000014,14,batch,7152.771970879,7152.772406123,7152.847591926,7152.869524887,7155.500211829,1990,334,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000015,15,batch,7153.271970879,7153.272475334,7153.486397348,7153.509018172,7155.828248238,541,294,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000016,16,batch,7153.771970879,7153.772234004,7153.789844955,7153.812607923,7156.957668117,945,399,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000017,17,batch,7154.271970879,7154.273031898,7155.304711721,7155.326839352,7156.404152953,719,139,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000018,18,batch,7154.771970879,7154.772819872,7156.108636915,7156.130701741,7158.998439955,1973,366,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000019,19,interactive,7155.271970879,7155.272303516,7155.500226342,7155.522487495,7156.108623874,92,76,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000020,20,interactive,7155.771970879,7155.77301141,7155.828262707,7155.85130824,7156.840618474,137,127,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000021,21,interactive,7156.271970879,7156.272195183,7156.404165449,7156.426673926,7156.690199645,157,34,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000022,22,interactive,7156.771970879,7156.773099099,7156.773136226,7156.800756994,7157.411254873,255,79,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000023,23,batch,7157.271970879,7157.272856386,7157.272884485,7157.298295797,7160.050243935,1132,350,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000024,24,batch,7157.771970879,7157.772560023,7157.772588665,7157.798245421,7160.126481771,967,296,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000025,25,batch,7158.271970879,7158.272589257,7158.272615509,7158.298344955,7160.103426964,539,229,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000026,26,interactive,7158.771970879,7158.773068861,7158.998452862,7159.021374103,7159.911349894,197,113,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000027,27,batch,7159.271970879,7159.272977209,7160.050256509,7160.072107327,7162.595449478,1957,323,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000028,28,batch,7159.771970879,7159.772304768,7159.911364138,7159.93360737,7160.928628117,700,128,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000029,29,interactive,7160.271970879,7160.272711556,7160.272744373,7160.298410112,7160.703926088,193,52,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000030,30,batch,7160.771970879,7160.772629095,7160.772656337,7160.796899887,7162.350246962,1279,200,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000031,31,interactive,7161.271970879,7161.272727183,7161.272755406,7161.294213187,7161.880367509,213,76,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000032,32,batch,7161.771970879,7161.772516094,7161.772543519,7161.798542207,7164.573705498,1071,352,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000033,33,batch,7162.271970879,7162.272243498,7162.272267088,7162.295404424,7164.76269971,994,313,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000034,34,interactive,7162.771970879,7162.772391089,7162.772422103,7162.7977606,7163.406970787,95,79,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000035,35,batch,7163.271970879,7163.272493293,7163.272521052,7163.295877095,7165.519288913,1493,281,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000036,36,interactive,7163.771970879,7163.773027366,7163.773056249,7163.798224092,7164.517183259,165,90,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000037,37,batch,7164.271970879,7164.272334626,7164.517196894,7164.540463335,7167.330194905,1575,354,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000038,38,batch,7164.771970879,7164.772140739,7164.772163485,7164.792960654,7166.722730898,1975,245,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000039,39,batch,7165.271970879,7165.272071794,7165.272096546,7165.295837397,7167.471448813,882,276,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000040,40,interactive,7165.771970879,7165.772784994,7165.772812639,7165.796906595,7166.200395943,107,52,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000041,41,batch,7166.271970879,7166.272840829,7166.272871033,7166.294914366,7169.180420228,1579,366,success,,slo_aware,38e819e738b18d1c97d68e3d30fbd7c2c690ec0be06a8ae04f1ee77df0e46bf6,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
