request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,7247.751765486,7247.753120476,7247.753149093,7247.774464242,7248.808014476,254,118,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000001,1,interactive,7248.251765486,7248.252108397,7248.252149252,7248.276525985,7248.710989742,198,49,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000002,2,batch,7248.751765486,7248.752051653,7248.752093077,7248.780212409,7250.958827209,892,254,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000003,3,interactive,7249.251765486,7249.252463266,7249.252493193,7249.273376663,7249.757867465,118,55,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000004,4,batch,7249.751765486,7249.752960513,7249.752992583,7249.774560065,7250.949709432,2046,131,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000005,5,batch,7250.251765486,7250.252078187,7250.25210762,7250.274819158,7252.572043124,1040,257,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000006,6,batch,7250.751765486,7250.752047295,7250.752073358,7250.778512601,7254.7292092,589,459,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000007,7,batch,7251.251765486,7251.252302284,7251.252335991,7251.280464967,7254.422900377,578,364,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000008,8,interactive,7251.751765486,7251.752460014,7251.752493416,7251.779095166,7252.248686276,94,54,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000009,9,interactive,7252.251765486,7252.252103001,7252.252133944,7252.279578015,7252.660788874,68,44,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000010,10,batch,7252.751765486,7252.751974442,7252.752006995,7252.772462543,7255.646051189,611,352,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000011,11,batch,7253.251765486,7253.252375092,7253.252412773,7253.278572089,7255.045571279,1163,211,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000012,12,interactive,7253.751765486,7253.751950296,7254.42291965,7254.444588007,7254.829010735,249,51,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000013,13,batch,7254.251765486,7254.251893666,7254.729220943,7254.751600585,7257.647385646,798,352,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000014,14,batch,7254.751765486,7254.75285191,7254.829023679,7254.85120963,7257.603049184,1990,334,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000015,15,batch,7255.251765486,7255.252859194,7255.252900156,7255.281361604,7257.736068117,541,294,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000016,16,batch,7255.751765486,7255.752342046,7255.752377082,7255.776904916,7258.748672191,945,355,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000017,17,batch,7256.251765486,7256.252371654,7257.647400156,7257.672972562,7258.810058275,719,139,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000018,18,batch,7256.751765486,7256.752517846,7257.736081614,7257.762663422,7260.460044027,1973,314,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000019,19,interactive,7257.251765486,7257.252113525,7257.603066023,7257.628507924,7258.256633829,92,76,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000020,20,interactive,7257.751765486,7257.75239433,7258.256652543,7258.278653565,7259.357018852,137,127,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000021,21,interactive,7258.251765486,7258.252277827,7258.748692576,7258.774632313,7259.069415055,157,34,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000022,22,interactive,7258.751765486,7258.752384326,7258.810071394,7258.835567184,7259.536061269,255,79,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000023,23,batch,7259.251765486,7259.251926522,7259.251966088,7259.283765865,7262.547148492,1132,366,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000024,24,batch,7259.751765486,7259.752107417,7259.752135448,7259.774258304,7262.413261126,967,296,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000025,25,batch,7260.251765486,7260.252104477,7260.25213657,7260.279796138,7262.323742113,539,229,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000026,26,interactive,7260.751765486,7260.751859053,7260.751892433,7260.774920122,7261.782204022,197,113,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000027,27,batch,7261.251765486,7261.252236022,7261.782218695,7261.808129145,7265.509310863,1957,417,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000028,28,batch,7261.751765486,7261.751934941,7262.413274429,7262.439702764,7263.575760196,700,128,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000029,29,interactive,7262.251765486,7262.252778882,7262.323756462,7262.349454777,7262.805061645,193,52,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000030,30,batch,7262.751765486,7262.752854955,7262.752881483,7262.777934975,7264.550995773,1279,200,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000031,31,interactive,7263.251765486,7263.252188038,7263.252214857,7263.277429358,7263.948657089,213,76,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000032,32,batch,7263.751765486,7263.752129822,7263.752155191,7263.778533954,7266.917186711,1071,355,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000033,33,batch,7264.251765486,7264.252080911,7264.252118132,7264.27671161,7267.040849689,994,313,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000034,34,interactive,7264.751765486,7264.752162634,7264.75218811,7264.780437545,7265.474659828,95,79,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000035,35,batch,7265.251765486,7265.252735019,7265.474679495,7265.499740563,7267.990206261,1493,281,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000036,36,interactive,7265.751765486,7265.752179598,7265.752220926,7265.782132677,7266.572254629,165,90,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000037,37,batch,7266.251765486,7266.252039586,7266.572267718,7266.597634311,7269.721211941,1575,352,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000038,38,batch,7266.751765486,7266.752815015,7266.917200608,7266.942546875,7269.117352962,1975,245,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000039,39,batch,7267.251765486,7267.252930824,7267.252964896,7267.280289759,7269.730145331,882,276,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000040,40,interactive,7267.751765486,7267.752504946,7267.990225932,7268.015280031,7268.470549104,107,52,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000041,41,batch,7268.251765486,7268.252853807,7268.470568464,7268.495507442,7271.672452975,1579,359,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000042,42,batch,7268.751765486,7268.752764046,7269.117366914,7269.142631939,7271.823954088,1568,303,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000043,43,batch,7269.251765486,7269.252178764,7269.721225322,7269.747038842,7270.925538737,518,134,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000044,44,interactive,7269.751765486,7269.752154637,7269.752183721,7269.773059998,7270.777383099,197,114,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000045,45,interactive,7270.251765486,7270.252721095,7270.777402909,7270.802353328,7271.539547586,212,84,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000046,46,interactive,7270.751765486,7270.752425904,7270.92555258,7270.951098887,7271.556477149,70,69,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000047,47,interactive,7271.251765486,7271.252177135,7271.539562014,7271.565450982,7272.513028649,140,108,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000048,48,batch,7271.751765486,7271.753051727,7271.753086791,7271.778783908,7275.659699182,1177,482,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000049,49,interactive,7272.251765486,7272.252965117,7272.252998047,7272.27382958,7272.592130397,67,37,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000050,50,interactive,7272.751765486,7272.752939477,7272.752971725,7272.777375968,7273.402552134,209,72,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000051,51,batch,7273.251765486,7273.251993338,7273.252037994,7273.278590723,7274.48738103,1232,158,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000052,52,batch,7273.751765486,7273.752171656,7273.752197774,7273.771698085,7275.943804388,1828,285,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000053,53,batch,7274.251765486,7274.251961985,7274.251997029,7274.273682524,7276.453033782,845,285,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000054,54,interactive,7274.751765486,7274.752665173,7274.752702144,7274.778116881,7275.637179948,208,113,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000055,55,interactive,7275.251765486,7275.251921724,7275.637197721,7275.659383668,7276.53746295,237,115,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000056,56,interactive,7275.751765486,7275.75213741,7275.752167335,7275.773917017,7276.091823654,223,42,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000057,57,interactive,7276.251765486,7276.252275945,7276.252302934,7276.276081119,7276.669743252,104,54,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000058,58,interactive,7276.751765486,7276.752155864,7276.752202988,7276.771020735,7277.832943454,229,128,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000059,59,batch,7277.251765486,7277.251857543,7277.251895767,7277.273535848,7279.46642512,1601,244,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000060,60,interactive,7277.751765486,7277.752754847,7277.752793453,7277.778158598,7278.123013614,139,39,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
request-000061,61,batch,7278.251765486,7278.252096875,7278.252124814,7278.276250554,7279.764978367,1681,167,success,,slo_aware,bca040fdae46eaf14c10e13e01706c500a056e72ab332a078311ff090c63cf3d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3288d29017fa3b11ceadbb0791395791315fdf176b3ce372e45562372d6c8ab0;vllm=unavailable;torch=unavailable
