request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,11941.939178839,11941.940148842,11941.940184542,11941.967808319,11942.82481579,254,118,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000001,1,interactive,11942.272512172334,11942.272679971,11942.272713467,11942.295841264,11942.651275377,198,49,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000002,2,batch,11942.605845505666,11942.606391244,11942.606423882,11942.626949071,11944.599885858,892,254,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000003,3,interactive,11942.939178839,11942.940025386,11942.940070508,11942.964721311,11943.381745249,118,55,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000004,4,batch,11943.272512172334,11943.273473586,11943.273505443,11943.294567641,11944.316128382,2046,131,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000005,5,batch,11943.605845505666,11943.606783902,11943.606834387,11943.631858914,11945.594819259,1040,257,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000006,6,batch,11943.939178839,11943.939269394,11943.939296785,11943.962681998,11946.323471637,589,307,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000007,7,batch,11944.272512172334,11944.273589987,11944.3161453,11944.339236514,11947.09609924,578,359,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000008,8,interactive,11944.605845505666,11944.606107552,11944.606126699,11944.630252981,11945.036015362,94,54,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000009,9,interactive,11944.939178839,11944.939604672,11945.03603183,11945.056826657,11945.364418878,68,44,success,,slo_aware,443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
