request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,12179.464059333,12179.464949682,12179.464963282,12179.483061544,12180.389609885,254,118,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000001,1,interactive,12179.797392666334,12179.797835142,12179.79786295,12179.821822795,12180.200259253,198,49,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000002,2,batch,12180.130725999667,12180.131400174,12180.131428792,12180.152616576,12182.174408815,892,254,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000003,3,interactive,12180.464059333,12180.464745821,12180.464774091,12180.485070859,12180.906120962,118,55,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000004,4,batch,12180.797392666334,12180.797932204,12180.797958328,12180.819660062,12181.890943219,2046,131,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000005,5,batch,12181.130725999667,12181.131674039,12181.131700938,12181.15522787,12183.205710596,1040,257,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000006,6,batch,12181.464059333,12181.464617681,12181.464641651,12181.48426573,12185.193203179,589,447,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000007,7,batch,12181.797392666334,12181.798207025,12181.890963683,12181.911866692,12184.820245105,578,358,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000008,8,interactive,12182.130725999667,12182.131127872,12182.174421759,12182.196891953,12182.610985724,94,54,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
request-000009,9,interactive,12182.464059333,12182.464569301,12182.611011667,12182.633542549,12182.969450142,68,44,success,,slo_aware,d4cf3d429b26e130895bf45b0e78899f98e311d3b4e659d66131f1aa937255a5,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=443bea6a82d24d65c429a572e90d06f97605a9701e4e416b8790cf3c12eefd1d;vllm=unavailable;torch=unavailable
