request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,batch,23219.514203242,23219.515319217,23219.515343206,23219.533636083,23222.331477297,1832,368,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000001,1,interactive,23219.847536575333,23219.847817719,23219.847851738,23219.873023448,23220.303181066,114,57,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000002,2,batch,23220.18086990867,23220.18140564,23220.181432786,23220.20289328,23222.849500325,627,347,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000003,3,interactive,23220.514203242,23220.514764323,23220.514791357,23220.538657559,23220.807161107,179,36,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000004,4,batch,23220.847536575333,23220.84802059,23220.848078333,23220.868755117,23222.627532564,1179,231,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000005,5,interactive,23221.18086990867,23221.181643016,23221.181672696,23221.206232833,23222.042199389,225,110,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000006,6,batch,23221.514203242,23221.514647476,23222.612826697,23222.634821557,23225.652034781,1828,395,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000007,7,interactive,23221.847536575333,23221.848387081,23222.042217175,23222.063456549,23222.612812784,166,73,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000008,8,interactive,23222.18086990867,23222.181570757,23222.331496384,23222.353271441,23223.041473485,172,91,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000009,9,batch,23222.514203242,23222.514279838,23222.627543769,23222.649755282,23225.874848989,1961,422,success,,static_priority,c64b4b62aab69500be1670e914e3700e2c8ff47a583f28968958aec5b9538d93,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
