request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,batch,23298.384663629,23298.385747065,23298.385764828,23298.409532717,23301.615113366,1832,368,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000001,1,interactive,23298.717996962332,23298.718533489,23298.718566689,23298.744978416,23299.239880074,114,57,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000002,2,batch,23299.051330295668,23299.051818914,23299.051847945,23299.080657754,23302.10772421,627,347,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000003,3,interactive,23299.384663629,23299.385261431,23299.385288719,23299.408125221,23299.716159951,179,36,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000004,4,batch,23299.717996962332,23299.718386122,23299.718404626,23299.741874092,23301.753090451,1179,231,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000005,5,interactive,23300.051330295668,23300.052039615,23300.052076046,23300.078045992,23301.031663046,225,110,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000006,6,batch,23300.384663629,23300.385415829,23301.684365194,23301.709206025,23304.918893587,1828,387,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000007,7,interactive,23300.717996962332,23300.718182964,23301.031685912,23301.056706407,23301.684350028,166,73,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000008,8,interactive,23301.051330295668,23301.051950828,23301.61513036,23301.640215707,23302.421369976,172,91,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
request-000009,9,batch,23301.384663629,23301.38576013,23302.107739985,23302.132754089,23304.933521779,1961,340,success,,slo_aware,edfc90135e9b2c3895ec6f45f1bd7c09f3bed1a93a5e548c2d4156ce82100f47,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=1510e0cd0f30bfd1430bc8d4ef72f438660ad61a2bcace925fc99098a2f9ecee;vllm=unavailable;torch=unavailable
