label,policy,request_rate_rps,random_seed,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
fcfs-s1,fcfs,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,458.5842530092691,2.1655953933332057,3.450164934001805,3.7373139823321253,0.007833239953266185,0.00793478031713365,0.008033986372574159,3.569908907666104,5.564028729335405,6.178139965002629,2.1438581733309547,3.428927589000523,3.713395273331116,3.7581723840012273,0.6388888888888888,0.16666666666666666,1.0,0.8333333333333334,0.6621621621621624
static-s1,static_priority,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,459.859329777386,0.7980507886677515,3.9777712660034013,5.5335844836663455,0.0074406038157008355,0.008357664774643716,0.008389299265053775,2.704405908665649,6.271897969330894,6.759923863664881,0.7742102116681053,3.955706063003163,5.512646174665861,5.622962033667136,0.9944444444444445,0.9871794871794872,1.0,0.012820512820512775,0.9999583784233748
slo-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,469.0836055573759,0.9322753583328449,3.2895270783337764,3.5635540273324295,0.007481828868862305,0.007618021223216991,0.008143017235352983,2.724934398665937,5.499519320001127,5.807099762998405,0.9103617233340628,3.2657542583328905,3.5425570643310493,3.5593795706699893,0.9666666666666667,0.9230769230769231,1.0,0.07692307692307687,0.998402555910543
fcfs-s2,fcfs,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,421.43561245306284,0.7012060186680174,2.496836203001294,2.9872377063329623,0.008357584011499622,0.008630426932571671,0.008690474217355191,2.2636985943354375,4.169197147999512,6.021504939002625,0.6796347406670975,2.472675157001504,2.9621627963315404,3.080354879668448,0.9055555555555556,0.8229166666666666,1.0,0.17708333333333337,0.9906514847641844
static-s2,static_priority,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,418.3018634164626,0.3798905259973253,2.993759446002514,3.5735800829970685,0.00846750601406929,0.008600954335164276,0.008755217939718691,1.5790026229988143,4.956467333002365,6.138763697999821,0.3579648479972093,2.969728263000434,3.5483696089977457,3.9564805740010343,0.9944444444444445,0.9895833333333334,1.0,0.01041666666666663,0.9999725892220823
slo-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,435.22610149288454,0.2611571029992774,1.9162156133315875,2.708144000331231,0.00756625318916138,0.008588947566395853,0.00872496241539081,1.438425146334339,3.8992208573326934,4.708310979000089,0.23950861200137297,1.8952987303309783,2.686363414330117,2.7082317960012006,1.0,1.0,1.0,0.0,1.0
fcfs-s3,fcfs,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,438.2593202298881,1.2255868859974726,2.797031498332217,3.685002666668879,0.007834663225910851,0.008716372283990135,0.008791076725819654,2.7948559963297157,5.127554251001129,6.312470607332216,1.2035854759997164,2.7747907223310904,3.659928705666971,4.583532022668805,0.7666666666666667,0.5757575757575758,1.0,0.4242424242424242,0.9324137931034482
static-s3,static_priority,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,439.90525681630913,0.4203682529987418,2.9355722663312918,3.531980501000362,0.007714683176981557,0.008905631836321183,0.00894603766963493,1.4925976986669411,5.683681260667072,6.643571149001218,0.39819456999975955,2.9101080383334192,3.5057568160009396,3.522724296999513,0.9888888888888889,0.9797979797979798,1.0,0.02020202020202022,0.9998958875585632
slo-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,435.36918746270777,0.7480904600015492,3.1442860293318518,3.867702219999046,0.007737996730876861,0.008791275999970595,0.008847900500033111,1.7684516883309698,6.033972720331803,6.859143218000099,0.7230763560000923,3.1228179193312826,3.8450681520007493,4.774808376998408,0.9777777777777777,0.9595959595959596,1.0,0.04040404040404044,0.9995750557739297
fcfs-s4,fcfs,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,430.9722120681129,0.5923351319979702,1.5893258343312482,2.20879408899782,0.007775154918919697,0.008792581811959873,0.008861258686975697,1.8712073899987445,3.6971265813299397,4.656613983330317,0.562325876999239,1.5674490073324705,2.1839926989996457,2.249600206665491,0.9833333333333333,0.967741935483871,1.0,0.032258064516129004,0.9997313272434175
