request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,33346.403035733,33346.403981565,33346.403997392,33346.422931341,33347.39002862,254,118,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000001,1,interactive,33346.46497233841,33346.466108478,33346.466145532,33346.486895425,33346.887155912,198,49,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000002,2,batch,33346.9191344218,33346.919404601,33346.919441901,33346.943439215,33349.038906061,892,254,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000003,3,interactive,33347.1469688264,33347.147957333,33347.147987281,33347.17508523,33347.627397207,118,55,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000004,4,batch,33347.396456468414,33347.397250219,33347.397269443,33347.422254597,33348.503946972,2046,131,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000005,5,batch,33348.426163764954,33348.4272563,33348.427287966,33348.452757039,33350.579833013,1040,257,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000006,6,batch,33348.49465371127,33348.495019685,33348.495048836,33348.519714389,33351.422652217,589,351,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000007,7,batch,33348.52704295149,33348.527889315,33348.527913132,33348.552561483,33351.564146816,578,364,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000008,8,interactive,33348.60748650995,33348.607859121,33349.038919046,33349.063517155,33349.50092973,94,54,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000009,9,interactive,33349.24302013289,33349.243274789,33349.50094516,33349.526507775,33349.881516464,68,44,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000010,10,batch,33349.92468650963,33349.925509651,33349.925539047,33349.947513303,33352.849297484,611,352,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000011,11,batch,33349.92685420585,33349.927553579,33351.020631796,33351.044562114,33352.768550767,1163,211,success,,static_priority,1e026b891cec63d86a74c3acdcc65cd4977d08d1de3104e4c07e23fbedec5c49,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
