request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,33432.120038616,33432.120973472,33432.120997705,33432.141604975,33433.175476554,254,118,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000001,1,interactive,33432.18197522141,33432.18303534,33432.183065581,33432.208764204,33432.631159357,198,49,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000002,2,batch,33432.6361373048,33432.636435838,33432.636461213,33432.665290563,33434.924290953,892,254,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000003,3,interactive,33432.8639717094,33432.864163611,33432.864197143,33432.888710793,33433.371185323,118,55,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000004,4,batch,33433.113459351414,33433.114158857,33433.114198446,33433.139203294,33434.315041534,2046,131,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000005,5,batch,33434.143166647955,33434.143698359,33434.143732632,33434.171486605,33436.329701599,1040,257,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000006,6,batch,33434.21165659427,33434.212283192,33434.21231722,33434.234625394,33437.19140085,589,357,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000007,7,batch,33434.24404583449,33434.244466351,33434.315061764,33434.339633039,33437.011776774,578,323,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000008,8,interactive,33434.32448939295,33434.325191815,33434.924307089,33434.950974026,33435.370827189,94,54,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000009,9,interactive,33434.96002301589,33434.960773166,33435.370849018,33435.393982821,33435.731501788,68,44,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000010,10,batch,33435.64168939263,33435.642282432,33435.731517666,33435.755565047,33438.845287993,611,365,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000011,11,batch,33435.64385708885,33435.644407061,33436.760029158,33436.782759901,33438.590085194,1163,211,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000012,12,interactive,33435.917675920944,33435.91839138,33436.32972318,33436.355916179,33436.75999613,249,51,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000013,13,batch,33436.01515776044,33436.015440947,33437.011801249,33437.033843386,33439.898051515,798,348,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000014,14,batch,33436.253696202395,33436.254798908,33437.191432292,33437.21653722,33439.962614995,1990,334,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000015,15,batch,33436.266605381745,33436.267200416,33439.475315753,33439.498183654,33441.807756697,541,294,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000016,16,batch,33436.92319472194,33436.923617341,33439.9626475,33439.984504709,33443.167250133,945,400,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000017,17,batch,33436.934250234895,33436.934648145,33440.482517345,33440.506242027,33441.602987518,719,139,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
request-000018,18,batch,33437.14101118029,33437.141451533,33440.804187814,33440.82602849,33443.315137059,1973,312,success,,slo_aware,7fd3da2f930a7b6fb4887acc4737f5f3c94ac1391a24b8accf6c689cb7f390e9,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=b5703ddc3c064646516825f0c4e958712d49c8fd8aeb0cf759509ac6a85be74e;vllm=unavailable;torch=unavailable
