request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,33682.701153983,33682.702071946,33682.702092135,33682.720751401,33683.678646894,254,118,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000001,1,interactive,33682.76309058841,33682.763728979,33682.763761954,33682.786632313,33683.166026498,198,49,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000002,2,batch,33683.2172526718,33683.218223393,33683.218255397,33683.240537197,33685.33658322,892,254,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000003,3,interactive,33683.4450870764,33683.445188666,33683.445228236,33683.474522399,33683.927676815,118,55,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000004,4,batch,33683.694574718415,33683.694674149,33683.694700078,33683.720052233,33684.790287032,2046,131,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000005,5,batch,33684.724282014955,33684.72526923,33684.725300762,33684.746673778,33686.879145976,1040,257,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000006,6,batch,33684.79277196127,33684.793696561,33684.793731168,33684.814137807,33688.742523719,589,459,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000007,7,batch,33684.825161201494,33684.825724133,33684.825762417,33684.846388614,33687.909375333,578,364,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000008,8,interactive,33684.90560475995,33684.906646584,33685.336597249,33685.360653714,33685.808506504,94,54,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
request-000009,9,interactive,33685.54113838289,33685.541456688,33685.808521649,33685.833422986,33686.194951113,68,44,success,,slo_aware,744f2e48af8c7ec4ac8e3c3b9784b7a6b331393a91dcc72e0f6351d69dd131bf,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=da085ff48fb970a9760644d3c26b722f41177e666254ac2baafe2c12ebaaeb08;vllm=unavailable;torch=unavailable
