label,policy,request_rate_rps,random_seed,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,aging_levels,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
k1-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,1,180,180,0,0,0,0,399.08050083242216,4.483408213214716,7.054246974941634,8.35267426178325,0.008868275789465866,0.009845395184209082,0.010140259999995275,6.088291763691814,9.15781014937238,10.682781025781878,4.457627510215389,7.025956053941627,8.324505870783469,8.396817319902766,0.6777777777777778,0.2564102564102564,1.0,0.7435897435897436,0.7405922270203578
k1-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,1,180,180,0,0,0,0,357.8348679950184,1.662982184010616,3.8056397498148726,4.903457532680477,0.009837368081325695,0.010572880953394667,0.011253877928538714,3.3634209679003106,6.755918449118326,8.967829472683661,1.6342436840131995,3.7763656188180903,4.875199786678422,5.453336534686969,0.8,0.625,1.0,0.375,0.949438202247191
k1-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,1,180,180,0,0,0,0,376.6217976166395,3.6938816072797636,7.1427791005553445,7.955820788993151,0.009584526477798743,0.009817426531299134,0.01007207014441115,5.561160431112512,9.359485568995296,11.382624462996318,3.666399172281672,7.115286576554354,7.928480001995922,7.989095568540506,0.7166666666666667,0.48484848484848486,1.0,0.5151515151515151,0.8925650557620817
k1-s4,slo_aware,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,1,180,180,0,0,0,0,369.31832155219473,1.5742430798563873,5.508790220730589,7.526747979376523,0.00969596654539775,0.010170645189252871,0.010544842368701679,3.0527283599294606,8.184617249004077,9.580692923009337,1.5453261528600706,5.481525707735273,7.499112553377927,7.5518285877406015,0.8722222222222222,0.7526881720430108,1.0,0.24731182795698925,0.9804782640785298
k1-s5,slo_aware,3.0,42,0.5,4,3.0,1.0,1.0,1.0,False,1,180,180,0,0,0,0,383.17601027053365,6.212449520360678,10.434758744297142,10.812353718298255,0.00917666694735281,0.009785518062471965,0.010046097632599709,7.89782759782247,12.742566522669222,14.444881783369055,6.183319233365182,10.407168959303817,10.78417034530139,11.274909161162213,0.5444444444444444,0.19540229885057472,0.8709677419354839,0.6755654430849092,0.713599619016725
k1-s6,slo_aware,3.0,65537,0.5,4,3.0,1.0,1.0,1.0,False,1,180,180,0,0,0,0,394.90832114602983,4.386555760233023,11.832631825956923,13.368519236952125,0.009050677309933836,0.00982733946576657,0.009930708008269444,6.649914588066167,14.058647710953665,15.799546395603102,4.359316311230941,11.808856252959231,13.34490619895223,13.428050756607263,0.75,0.5652173913043478,0.8648648648648649,0.29964747356051713,0.9579429459923392
k2-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,2,180,180,0,0,0,0,368.773306497845,6.198754756165727,9.022197117941687,10.254161840784946,0.009853094301192813,0.0104294641578714,0.010684712019557244,8.031779691169504,11.43354502919101,12.653103461787396,6.1690707412635675,8.994389627943747,10.22594347478298,10.320447753903863,0.6111111111111112,0.1282051282051282,0.9803921568627451,0.8521870286576169,0.6285705974751296
k2-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,2,180,180,0,0,0,0,374.6526379469216,1.7188759497876163,3.626973765283765,4.354426284116926,0.009872133373601344,0.01014353810819424,0.010436347309124275,3.461327712109778,5.994190879515372,6.66707615651103,1.6940561187875574,3.5982454132827115,4.326965335116256,4.593217579116754,0.7055555555555556,0.4479166666666667,1.0,0.5520833333333333,0.8730682331676458
k2-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,2,180,180,0,0,0,0,365.26858571673034,3.5488909022824373,7.898420555597113,8.911093731599976,0.009831650582275904,0.010075494620228272,0.010333526685800669,5.536054764110304,9.728726606597775,11.930049839000276,3.5215370122823515,7.870410421593988,8.882869617598772,8.92882317454496,0.6722222222222223,0.40404040404040403,1.0,0.595959595959596,0.8473379528111569
k2-s4,slo_aware,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,2,180,180,0,0,0,0,349.64219333072543,2.251991353194171,6.701933092925174,9.098187615374627,0.010023772160691027,0.011097542209661755,0.011822602128235396,4.356335108655912,9.171356603968889,11.436960935010575,2.219769827192067,6.676038159923337,9.06936842037976,9.168344962738047,0.6333333333333333,0.2903225806451613,1.0,0.7096774193548387,0.7677543186180422
k2-s5,slo_aware,3.0,42,0.5,4,3.0,1.0,1.0,1.0,False,2,180,180,0,0,0,0,343.81728419972274,8.150122392726189,12.915352405369049,13.721022460158565,0.010175741583225317,0.010502105888816813,0.010807083687495833,9.730404733934847,15.241298026456207,16.875734689361707,8.121933252725285,12.886020629368431,13.692415337158309,13.705770834159921,0.39444444444444443,0.08045977011494253,0.6881720430107527,0.6077122728958102,0.61534140456638
k2-s6,slo_aware,3.0,65537,0.5,4,3.0,1.0,1.0,1.0,False,2,180,180,0,0,0,0,366.4598761598768,5.0229563036045874,14.356536373954441,16.647225933607842,0.010031962507112354,0.010699030516954767,0.01109001894028959,7.563166174950311,17.017573396777152,19.3232375929947,4.994912879599724,14.327558285949635,16.61777324560535,16.657071509682282,0.5777777777777777,0.30434782608695654,0.7477477477477478,0.44339992166079123,0.8491736130564662
k3-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,3,180,180,0,0,0,0,363.81691033643284,6.721533066694974,9.860880236985395,10.716524589901383,0.010078960043492902,0.010456693544703395,0.010698628490505178,8.490771733166184,11.822458983791876,13.459962222194008,6.6957708056943375,9.833066743987729,10.686418114899425,10.736851326786564,0.5833333333333334,0.07692307692307693,0.9705882352941176,0.8936651583710407,0.5787593751518654
k3-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,3,180,180,0,0,0,0,374.20669415723853,1.764382409179234,3.2396779124828754,3.602730666672869,0.009617898207978893,0.009876579152067121,0.009963753063370667,3.2857234149050782,5.690372925768315,7.385199434516835,1.736947080178652,3.213353676488623,3.5761826316665974,3.612234604304831,0.7055555555555556,0.4479166666666667,1.0,0.5520833333333333,0.8730682331676458
k3-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,3,180,180,0,0,0,0,395.76052224248355,2.535648490280437,6.1132303183258045,7.201774805544119,0.008823139708308898,0.009826649109267496,0.01029095780646575,4.507461667955795,8.534144979283155,10.157446623597934,2.5115885542836622,6.090478546328086,7.174209506541956,7.266992003002088,0.6944444444444444,0.4444444444444444,1.0,0.5555555555555556,0.8711340206185567
k3-s4,slo_aware,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,3,180,180,0,0,0,0,397.6525027029367,1.1730573495369754,3.8314108829654288,5.014181656733854,0.008446071480142604,0.00955279695237608,0.009645951784263803,2.461659195840184,5.863303532903956,6.990706327916996,1.147897113536601,3.803001065964054,4.9869773077371065,5.0156254453759175,0.8833333333333333,0.7741935483870968,1.0,0.22580645161290325,0.9840598568640208
k3-s5,slo_aware,3.0,42,0.5,4,3.0,1.0,1.0,1.0,False,3,180,180,0,0,0,0,395.39378660150055,5.86465816800046,10.028644848367549,10.670075206166075,0.008974979307695448,0.009543902666667815,0.009614132323483371,7.53645309512649,12.231992669941974,13.813342409368488,5.840315515997645,10.000728789367713,10.64337899916427,10.677179476304445,0.5666666666666667,0.16091954022988506,0.946236559139785,0.7853170189098999,0.6652825075435826
k3-s6,slo_aware,3.0,65537,0.5,4,3.0,1.0,1.0,1.0,False,3,180,180,0,0,0,0,409.50193086885264,4.051986926548125,11.361936300956586,12.43229748369049,0.009063787061376125,0.009418298666622088,0.009504493037793337,6.532143865704711,13.419279278998147,14.538032357610064,4.028460151545005,11.336745130953204,12.408328403689666,12.467451319957036,0.6444444444444445,0.2463768115942029,0.8918918918918919,0.645515080297689,0.7566555622655845
k5-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,5,180,180,0,0,0,0,406.48718583028005,4.703511380968848,6.802695565158501,7.878657406792627,0.0085440671622915,0.009486842432508172,0.009562574581396739,6.17585786368727,9.008202920798794,10.272782859377912,4.676332870971237,6.776273473158653,7.855289501792868,7.912968922784785,0.6166666666666667,0.11538461538461539,1.0,0.8846153846153846,0.6138686131386861
k5-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,5,180,180,0,0,0,0,380.57965797254496,1.4011977151676547,2.9190007968136342,3.1664742436696542,0.009222480031212399,0.009432410146044358,0.009479237781306438,3.097068597555335,5.030462198083114,6.776789631687279,1.3785055421685684,2.891707710812625,3.140259049665474,3.291418035812967,0.7333333333333333,0.5,1.0,0.5,0.9
k5-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,5,180,180,0,0,0,0,409.56347528823244,2.6675503867081716,5.2786263386005885,6.222998426594131,0.008418637386546666,0.009402996661746703,0.009488409379314519,4.408749229114619,7.8433060276001925,9.028007432054437,2.6400187146209646,5.255100246598886,6.199156668597425,6.222412567542051,0.6888888888888889,0.43434343434343436,1.0,0.5656565656565656,0.8654077253218884
k5-s4,slo_aware,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,5,180,180,0,0,0,0,394.21779197886383,1.2199494546512142,3.832712527924741,4.915252765371406,0.008769301013475807,0.00960319813512379,0.009759038465525574,2.7151507571470574,6.186209249732201,7.141488762921654,1.1952853276452515,3.8088914789186674,4.88799440737057,4.9416109663725365,0.8833333333333333,0.7741935483870968,1.0,0.22580645161290325,0.9840598568640208
k5-s5,slo_aware,3.0,42,0.5,4,3.0,1.0,1.0,1.0,False,5,180,180,0,0,0,0,392.0306378691743,5.821397295869247,9.324097379132581,10.562384715165535,0.009070451883197016,0.009472599610995126,0.009659784270904007,7.558372005769343,11.506842078662885,13.883579848370573,5.793996780870657,9.300203266131575,10.534002979162324,10.850855003161996,0.5944444444444444,0.16091954022988506,1.0,0.8390804597701149,0.6568576947842885
k5-s6,slo_aware,3.0,65537,0.5,4,3.0,1.0,1.0,1.0,False,5,180,180,0,0,0,0,416.0934055501405,4.056902435535449,9.931148957606638,12.497935188956035,0.008461519024533754,0.009467613578348175,0.009705639762707228,6.157614235700748,12.790995970688527,14.77827849699679,4.032738389534643,9.907595619602944,12.473917235955014,12.54160133060941,0.6833333333333333,0.2608695652173913,0.9459459459459459,0.6850763807285547,0.7562852336625512
