request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,batch,1649.039155221,1649.040187327,1649.040212047,1649.058339538,1651.932865689,563,383,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000001,1,interactive,1649.3791753167584,1649.379478296,1649.379508071,1649.398935194,1649.761252709,121,49,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000002,2,batch,1649.3876182631059,1649.388278161,1649.388302774,1649.406580354,1652.781585492,1897,447,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000003,3,batch,1649.4948262844644,1649.495165719,1649.495189016,1649.518234023,1652.234328446,690,359,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000004,4,interactive,1649.5790216796877,1649.579827027,1649.761267376,1649.782949281,1650.100142739,71,43,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000005,5,interactive,1650.0235525706237,1650.024288761,1650.100157588,1650.122611005,1650.952514848,193,109,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000006,6,interactive,1650.3999435735566,1650.400137967,1650.952529468,1650.974476658,1651.895292437,114,123,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000007,7,batch,1651.1423729400738,1651.142978311,1652.285967749,1652.307744109,1654.874564107,1628,342,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000008,8,interactive,1651.172690408276,1651.172913186,1651.895313607,1651.917121845,1652.41329435,214,67,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000009,9,batch,1651.355372461408,1651.355659494,1652.413311622,1652.434732218,1654.001960725,525,209,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000010,10,batch,1651.3654558538105,1651.366291338,1652.781612401,1652.802834794,1654.830221986,1208,270,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000011,11,interactive,1651.4476947524638,1651.447872566,1651.932892563,1651.954664364,1652.285949992,150,45,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000012,12,interactive,1651.6823332617525,1651.683375096,1652.234348354,1652.255620964,1652.825915132,88,77,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000013,13,batch,1651.6912980629793,1651.692221605,1652.825932939,1652.84708316,1654.822836126,1748,263,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000014,14,batch,1651.7651952860338,1651.765591807,1654.830240702,1654.85156406,1657.26864336,2006,323,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000015,15,batch,1652.115025953108,1652.116185801,1654.874583439,1654.896359706,1656.152784246,1287,168,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000016,16,batch,1652.3774690378555,1652.378476557,1654.896616654,1654.918470787,1658.326253463,1799,444,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000017,17,batch,1652.4604778441778,1652.461471045,1655.274415828,1655.295656898,1658.543240734,1252,423,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000018,18,interactive,1652.7570807462782,1652.757805691,1654.001982888,1654.024235419,1654.294440249,81,37,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000019,19,batch,1653.3096601110194,1653.310777149,1657.149702898,1657.171056617,1658.505904615,1104,168,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000020,20,batch,1653.3118334338708,1653.312888774,1657.268672421,1657.289899678,1659.782096055,718,322,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000021,21,interactive,1653.858155387901,1653.859147609,1654.294470159,1654.315420128,1654.896597683,226,78,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000022,22,interactive,1654.2574187015587,1654.258425339,1654.822856846,1654.843613689,1655.27438819,154,58,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000023,23,batch,1654.3960503970584,1654.396585242,1658.50592389,1658.527659293,1661.202243505,1949,358,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000024,24,batch,1654.4523791530873,1654.45284432,1658.543263262,1658.565034783,1661.218477565,1759,355,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000025,25,interactive,1655.502886702567,1655.503638421,1656.152805302,1656.174380407,1656.638954883,250,63,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000026,26,interactive,1655.6396763458606,1655.640353398,1656.638989587,1656.66044874,1657.149671489,161,66,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000027,27,batch,1655.6721205629738,1655.673188958,1659.121171393,1659.142366357,1662.385720662,1822,429,success,,slo_aware,d4297f82cc12705390ce4b66c69a24b35092de5cfdec71ec4de3309cdb4185c8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
