request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,2611.928267388,2611.929347575,2611.929372715,2611.951378612,2612.647457422,97,74,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000001,1,interactive,2611.9477726462906,2611.948620203,2611.948665416,2611.97812138,2612.997514423,142,107,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000002,2,batch,2611.995230494314,2611.995766056,2611.99581797,2612.025401719,2615.179817355,1012,359,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000003,3,batch,2612.0758853452144,2612.076701826,2612.076735693,2612.101560208,2616.226096696,1345,472,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000004,4,interactive,2612.1970533299223,2612.197738482,2612.647483897,2612.67521953,2613.217306183,133,60,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000005,5,interactive,2612.821920116585,2612.822243795,2612.997542537,2613.021515819,2613.622588218,113,72,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000006,6,batch,2612.9153204174154,2612.915879782,2613.217325611,2613.241358867,2614.840561966,742,188,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000007,7,batch,2613.540648191065,2613.541200231,2613.622606512,2613.647607705,2616.19072273,967,298,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000008,8,interactive,2613.950671729518,2613.951045831,2614.840584121,2614.864951795,2615.728291675,135,103,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000009,9,interactive,2614.124933159145,2614.12593353,2615.179851287,2615.204710882,2615.637572826,252,52,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000010,10,batch,2614.226049691136,2614.227217914,2615.637597875,2615.663059442,2617.776678765,1668,249,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000011,11,interactive,2614.332263054398,2614.332789327,2615.728315299,2615.75372004,2616.602736375,139,100,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000012,12,batch,2614.370589483466,2614.371700983,2616.190747576,2616.216255181,2619.466072725,949,382,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000013,13,batch,2615.00431404216,2615.005181186,2616.22612239,2616.250131417,2619.226137146,1701,352,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000014,14,interactive,2615.131856236936,2615.132184332,2616.60276858,2616.626005454,2617.3112388,67,81,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000015,15,interactive,2615.5859254078055,2615.586557067,2617.31127026,2617.334739139,2618.396938155,230,126,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000016,16,interactive,2615.627933958411,2615.628085435,2617.776709319,2617.801329193,2618.520695868,126,85,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000017,17,interactive,2615.97243377116,2615.973305563,2618.396960137,2618.420765007,2618.765672505,65,42,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000018,18,batch,2616.107597767986,2616.108023772,2618.52071816,2618.544821801,2621.011713374,579,281,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000019,19,interactive,2616.1470198446063,2616.147810422,2618.76569514,2618.790435484,2619.314980905,221,62,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000020,20,batch,2617.0998509303467,2617.100284328,2619.22616922,2619.251133197,2620.486503199,1553,141,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000021,21,batch,2618.3988541881927,2618.399081246,2619.466094526,2619.492297973,2622.683791766,712,366,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000022,22,batch,2618.412495822345,2618.413396851,2619.840673121,2619.866233391,2621.027717569,518,131,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000023,23,interactive,2618.8552503627066,2618.855768935,2619.315021345,2619.343683371,2619.840651812,106,57,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000024,24,interactive,2619.3957464942105,2619.396062208,2620.486524755,2620.512249321,2621.472141555,101,108,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000025,25,batch,2619.6729948887178,2619.674029672,2621.394312051,2621.418881836,2624.519064299,878,366,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000026,26,interactive,2619.8966875443225,2619.897112552,2621.011744967,2621.036500247,2621.42752961,251,46,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000027,27,interactive,2620.5471316560597,2620.547913056,2621.027747197,2621.053875361,2621.394289759,189,40,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
request-000028,28,interactive,2622.0352989529383,2622.035545802,2622.035579561,2622.057302372,2622.830090212,165,94,success,,slo_aware,5de3595da6f0a10d4ab2e210c5d920cfeb0c4fb49e26582b3f57ac7b70c5e6a0,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=caae3987ea21ee12be1a6608a6c64cc4e5b0db59612967eea729dda403ebfd94;vllm=unavailable;torch=unavailable
