label,policy,request_rate_rps,random_seed,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,aging_levels,adaptive_ceiling,ceiling_margin,ceiling_floor_s,ceiling_cap_s,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
fix3-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,482.37702854603026,1.2108636354665236,3.8692065556450075,4.860261872766671,0.007158027348837518,0.007618533294871755,0.007719831303030801,2.536267683725157,5.923612998766714,7.340461202372239,1.1894323924665287,3.847756287644984,4.839009467766687,4.943084736766707,0.9722222222222222,0.9358974358974359,1.0,0.0641025641025641,0.9989047577324104
fix3-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,406.8411340402935,0.29431223477917,1.5278004121240656,2.2496236378342473,0.007830061119265977,0.008047636547619927,0.00817761334090893,1.36931046513115,3.845680700654839,4.633455415519904,0.27373227564572744,1.5050053581240377,2.226746722834207,2.4395506944861154,0.9888888888888889,0.9791666666666666,1.0,0.02083333333333337,0.9998892089519165
fix3-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,456.842035242657,0.46521067297021546,2.7894006702795195,3.2336665229975097,0.007299634901235067,0.008106898289473688,0.00817679838596446,1.3435901092968834,5.280742699174539,5.819207558997505,0.44456490397021753,2.7669564122794554,3.2117831529975547,3.2842253399974197,0.9944444444444445,0.98989898989899,1.0,0.010101010101010055,0.9999742334449885
fix3-s4,slo_aware,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,429.71950105274345,0.24580912210842598,2.225427031908225,3.4080560007383838,0.00735682603012021,0.008390552651516111,0.008514078932989833,1.3861912193528951,4.648633874923348,5.61732084392338,0.225232279108468,2.201439637908152,3.386849712738467,3.4012772013771837,1.0,1.0,1.0,0.0,1.0
fix3-s5,slo_aware,3.0,42,0.5,4,3.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,453.18014017704365,3.802443723357783,6.297553518724499,7.068308972506429,0.007438830995515714,0.008386899560605343,0.008447102351274624,5.726617102696309,8.297911486665157,10.425506178530668,3.780917753357812,6.273939330724488,7.0434926755064,7.576230689164163,0.6555555555555556,0.28735632183908044,1.0,0.7126436781609196,0.7654381254576519
fix3-s6,slo_aware,3.0,65537,0.5,4,3.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,465.0689739017838,2.5462069534607963,7.2393754356101,9.621451023689588,0.007658162116277962,0.008340407755101796,0.008389291245762097,4.864382592341826,9.627769986797375,11.570556600689542,2.5216948794607106,7.218568652610088,9.59744102568959,9.788276517955978,0.9111111111111111,0.7681159420289855,1.0,0.23188405797101452,0.9830911492734475
fix10-s1,slo_aware,3.0,20250825,0.5,4,10.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,448.4004937487645,1.5803233077942878,4.660449939766636,5.727099438766686,0.007659659118421028,0.008463212947368336,0.008492196731708646,2.841891562794217,6.877358972176239,8.534638085083088,1.5566215897943039,4.639286458766605,5.705508304766681,5.966924682372223,0.9111111111111111,0.7948717948717948,1.0,0.20512820512820518,0.9871071716357773
fix10-s2,slo_aware,3.0,11,0.5,4,10.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,409.0850960077643,0.45298364677910286,1.9286397256815917,3.1917223904861203,0.008236381869346701,0.008522113011173074,0.008633675249999907,1.56104661264078,4.237504715486125,4.8199391356815795,0.4287441447791025,1.9055321038342754,3.1681660444861564,3.1848270324861687,0.9888888888888889,0.9791666666666666,1.0,0.02083333333333337,0.9998892089519165
fix10-s3,slo_aware,3.0,202,0.5,4,10.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,442.64977124842966,0.6249627745630733,3.3558370410253247,3.6569784380521924,0.007492966511626734,0.008375870655735987,0.008487563942857638,1.6514825950472414,5.797914828997364,6.69667683027933,0.6035862835628905,3.3328126762794454,3.6360186720521597,4.0486030099973505,0.9833333333333333,0.9696969696969697,1.0,0.030303030303030276,0.9997633696166587
fix10-s4,slo_aware,3.0,3407,0.5,4,10.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,414.1148813245207,0.37043009329363485,2.6234115809081686,3.771421529923373,0.007536351721310133,0.008529916271083538,0.008583177295652248,1.3813076521084895,5.0804327559080775,6.39473007992342,0.3485408892936448,2.5993351279080343,3.747231284923373,3.9349798907383047,1.0,1.0,1.0,0.0,1.0
fix10-s5,slo_aware,3.0,42,0.5,4,10.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,450.8962118097947,1.7930501561640995,7.9737008275305925,8.6654962835064,0.007538822142857628,0.008537774246154256,0.008577907414285489,3.321251659592008,9.917335291455174,11.104688671164695,1.7681585341640584,7.951652133530615,8.644382872506185,9.173238506870803,0.8722222222222222,0.735632183908046,1.0,0.26436781609195403,0.9773253321903128
fix10-s6,slo_aware,3.0,65537,0.5,4,10.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,456.6720848365654,2.548235534940204,7.641448081045837,8.44077559699781,0.008064206966197213,0.008506536495726707,0.008544160785124991,4.889350633347931,9.940356744045857,11.211935861609845,2.5242140099403514,7.616962226045871,8.418458899997859,8.596427546609902,0.9944444444444445,0.9855072463768116,1.0,0.01449275362318836,0.9999467234949387
fix30-s1,slo_aware,3.0,20250825,0.5,4,30.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,446.87292255200526,1.6901099500071268,4.515890128552428,4.972411778644982,0.0076652413720926975,0.008563184458645472,0.008653672960631447,2.7880890005076253,6.656383778218469,7.410335829083351,1.6675962870071999,4.491664356552292,4.950371423645038,5.80286109576673,0.9,0.7692307692307693,1.0,0.23076923076923073,0.983271375464684
fix30-s2,slo_aware,3.0,11,0.5,4,30.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,404.9040497370944,0.3124754701668735,1.652211841124199,3.168796377834269,0.007685745333333216,0.00850860764285708,0.008725067806121192,1.6706817368253724,4.306111355655048,5.190403756681462,0.2908423071669404,1.6283818241240624,3.1451316078344007,3.3897985874862115,0.9944444444444445,0.9895833333333334,1.0,0.01041666666666663,0.9999725892220823
fix30-s3,slo_aware,3.0,202,0.5,4,30.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,419.81793962414457,0.975897692417675,4.324172110174686,5.231742833174621,0.00844151002631502,0.008566528999999126,0.008609043986110818,2.119118589630716,7.162705030470761,8.09489623717468,0.9517211934175975,4.2995710431746375,5.207132847174535,5.210855192470717,0.9777777777777777,0.9595959595959596,1.0,0.04040404040404044,0.9995750557739297
fix30-s4,slo_aware,3.0,3407,0.5,4,30.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,426.0729877148989,0.43034639880738723,2.2411788235342556,3.1115515853771285,0.007495943463977408,0.008510565862745048,0.008549728221153758,1.5346838823529652,4.5742724400095085,5.529877788534122,0.4087482126776649,2.219149790534175,3.0910193073771097,3.2362126709233507,1.0,1.0,1.0,0.0,1.0
fix30-s5,slo_aware,3.0,42,0.5,4,30.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,438.65326753589017,1.8696434155961015,8.340737296164889,9.200192264870793,0.007787876751295472,0.008579052277778172,0.008694704577233947,3.3447209911516893,10.967003238370808,11.866999173870909,1.8482832695960951,8.317015538164696,9.175831066870842,9.228430536880978,0.9222222222222223,0.8390804597701149,1.0,0.16091954022988508,0.9924019227787254
fix30-s6,slo_aware,3.0,65537,0.5,4,30.0,1.0,1.0,1.0,False,1,False,1.5,1.0,15.0,180,180,0,0,0,0,457.0425377178543,2.2209071125485025,7.845970798776534,9.562819733997912,0.007780142667597855,0.008530256285717037,0.008586388794642949,4.458604166548412,10.58119807004573,12.214887043609906,2.197771362548565,7.82152409177661,9.542110576997857,9.568129295609879,0.9611111111111111,0.8985507246376812,1.0,0.10144927536231885,0.9971528181289947
adp-cap10-s1,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,1,True,1.5,1.0,10.0,180,180,0,0,0,0,450.80217453213635,2.892373520944375,4.661633444755353,5.427196619766619,0.007639722290721543,0.008607837075470463,0.008706599480001386,4.069657455944252,6.9656230086927735,8.175559725372295,2.8701162529441717,4.637165230755272,5.405089833766624,5.944624455766643,0.6555555555555556,0.20512820512820512,1.0,0.7948717948717949,0.6968454258675079
adp-cap10-s2,slo_aware,3.0,11,0.5,4,3.0,1.0,1.0,1.0,False,1,True,1.5,1.0,10.0,180,180,0,0,0,0,389.397822671772,0.8483761481668353,2.5479471056814873,2.9594814952997694,0.00890501055036023,0.00916310990908807,0.00941103192727,2.546149299167155,4.739926832519814,6.054931354681457,0.8225454361668199,2.522212828681404,2.9333093692998773,2.9373305264859937,0.8222222222222222,0.6666666666666666,1.0,0.33333333333333337,0.9615384615384613
adp-cap10-s3,slo_aware,3.0,202,0.5,4,3.0,1.0,1.0,1.0,False,1,True,1.5,1.0,10.0,180,180,0,0,0,0,393.7738228534752,2.202039777562959,5.796545140025501,6.823820717997478,0.009003879357140119,0.010091504231480839,0.01065137541964337,3.630703624109856,8.897189913052216,10.408232532997317,2.1724781585628534,5.768078197025488,6.796234419997745,7.232512886997256,0.7222222222222222,0.494949494949495,1.0,0.505050505050505,0.8975577774135388
adp-cap10-s4,slo_aware,3.0,3407,0.5,4,3.0,1.0,1.0,1.0,False,1,True,1.5,1.0,10.0,180,180,0,0,0,0,380.9826856285954,1.7841037506022985,4.250188029908259,5.732284085738684,0.008994808531250934,0.009988536466658439,0.011823520530726567,3.2036409379352335,7.223778628377204,8.150066099009564,1.7622394056020312,4.22570600690824,5.704512976738442,5.9386762527383326,0.7777777777777778,0.5698924731182796,1.0,0.4301075268817204,0.9301797870483505
adp-cap10-s5,slo_aware,3.0,42,0.5,4,3.0,1.0,1.0,1.0,False,1,True,1.5,1.0,10.0,180,180,0,0,0,0,388.62866800648453,5.698777120912382,10.450473712724488,11.04685888850645,0.009003171125355206,0.009700169010097806,0.010177111828566662,7.236932023110512,12.645940495037394,13.963407821454894,5.670148087912821,10.42371296972442,11.021882059506424,11.292899889506316,0.4777777777777778,0.11494252873563218,0.8172043010752689,0.7022617723396367,0.6379247417494261
