request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,23103.790160498,23103.791502773,23103.791542876,23103.841383001,23120.143030145,254,1132,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,1132,1132,length
request-000001,1,batch,23103.883065406117,23103.884442953,23103.884510592,23103.928532947,23111.772628762,1018,543,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,543,543,length
request-000002,2,batch,23104.564308531204,23104.565289807,23104.565369163,23104.614915447,23113.606528355,589,624,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,624,624,length
request-000003,3,interactive,23104.906060138102,23104.906546925,23104.906597966,23104.954165952,23114.640917908,202,672,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,672,672,length
request-000004,4,interactive,23105.280291601124,23105.281666769,23111.772656452,23111.814271986,23126.427223885,249,1015,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,1015,1015,length
request-000005,5,batch,23106.824852545935,23106.825258259,23113.606551837,23113.648421969,23143.102626863,1990,2048,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,2048,2048,length
request-000006,6,batch,23106.927587465412,23106.929134118,23114.640939929,23114.682422461,23119.899885554,719,364,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,364,364,length
request-000007,7,interactive,23106.97617132574,23106.976394886,23119.89990853,23119.941231876,23139.053454703,137,1330,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,1330,1330,length
request-000008,8,interactive,23107.09683666343,23107.097903929,23120.143051399,23120.183824428,23133.685347003,255,938,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,938,938,length
request-000009,9,batch,23108.050137097835,23108.051991229,23126.427246231,23126.468768965,23142.047138211,1847,1086,success,,fcfs,17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=17c02223a1be8586a7c95582464131c09cc363f378dfa247a173eedee460af03;vllm=unavailable;torch=unavailable,1086,1086,length
