label,policy,request_rate_rps,random_seed,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,length_source,length_estimator_path,length_model,prompt_kinds,prompt_kind_fractions,log_mu_by_kind,log_sigma,advertised_cap_tokens,clamp_min,clamp_max,aging_levels,adaptive_ceiling,ceiling_margin,ceiling_floor_s,ceiling_cap_s,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
true-s1,slo_aware,1.2,20250825,0.5,4,3.0,1.0,1.0,1.0,False,true,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,407.9526109283052,1.015614801157426,4.906401665233716,6.235360839431451,0.007414367204951911,0.008190584287916124,0.008298363606557812,3.841127811387196,8.080309647013564,9.50808842861261,0.992764561158765,4.88395037623377,6.21309828043195,6.331832892918101,0.8277777777777777,0.6770833333333334,1.0,0.32291666666666663,0.9642511717878135
true-s2,slo_aware,1.2,11,0.5,4,3.0,1.0,1.0,1.0,False,true,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,333.8429685320124,0.42732189622438455,4.0622973936751805,4.711080305443829,0.00783696203124388,0.008695989162393314,0.008749890051569204,3.456445593295939,6.983604076445772,7.778177244490507,0.40237071722549445,4.041507058675052,4.690829230445161,4.699125467490376,0.8722222222222222,0.7870370370370371,1.0,0.2129629629629629,0.9859971411932872
true-s3,slo_aware,1.2,202,0.5,4,3.0,1.0,1.0,1.0,False,true,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,387.28639289032867,0.5306796020777256,4.858699972774048,6.4708183519942395,0.008359534150837927,0.008843295952514046,0.009062838407409016,3.4138245057929453,8.397891161564985,12.221404396663274,0.5060990500787739,4.833292472772882,6.44604991799315,6.538639674841761,0.9277777777777778,0.8645833333333334,1.0,0.13541666666666663,0.9947531822415401
true-s4,slo_aware,1.2,3407,0.5,4,3.0,1.0,1.0,1.0,False,true,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,379.2188770703939,0.7141666060178977,3.604451368772061,4.157219332035311,0.0077621255589006,0.008637582898350397,0.008728375637394658,3.542245352444297,6.503003189007359,8.17718122248516,0.691919234017405,3.582670702771793,4.1327725130358886,5.004567904485157,0.9666666666666667,0.9166666666666666,1.0,0.08333333333333337,0.9981132075471698
true-s5,slo_aware,1.2,42,0.5,4,3.0,1.0,1.0,1.0,False,true,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,419.70803468939664,2.795281849832463,6.784213368891869,7.968980773215662,0.0077948415810067916,0.008790009456595527,0.008860187405482738,5.2839493038118235,9.618263112593922,16.916293361939097,2.7731319288322993,6.759532532891171,7.944502615215242,8.033698877265124,0.6388888888888888,0.39814814814814814,1.0,0.6018518518518519,0.8436690594242581
true-s6,slo_aware,1.2,65537,0.5,4,3.0,1.0,1.0,1.0,False,true,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,402.2750099802398,0.6500703779220203,3.3091891615258646,4.305972032661884,0.007836177822679657,0.008956150926348886,0.009036883296089425,3.3649327435359737,6.195541539875194,7.275316822660898,0.6280440149221249,3.2862180535248626,4.280241494661823,4.522619088525971,0.8777777777777778,0.7904761904761904,1.0,0.20952380952380956,0.986491012615831
adv-s1,slo_aware,1.2,20250825,0.5,4,3.0,1.0,1.0,1.0,False,advertised,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,380.28438032584916,2.288336785768479,5.260492573432202,6.308906600916089,0.00829554325698241,0.00909811238526672,0.009305052395569575,5.177823102862021,8.748743821555763,10.484113599226475,2.2624058277688164,5.237121120431766,6.283163662916195,6.901361436430307,0.7055555555555556,0.4479166666666667,1.0,0.5520833333333333,0.8730682331676458
adv-s2,slo_aware,1.2,11,0.5,4,3.0,1.0,1.0,1.0,False,advertised,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,320.88971893495557,0.676213601274867,4.267236260673599,4.791885870516126,0.008673684494413606,0.009378234533518957,0.009547956102939197,3.79792393990283,7.263053621249128,8.04868705924855,0.6525224592733139,4.244089798674395,4.764744154515938,4.775696688748212,0.8833333333333333,0.8055555555555556,1.0,0.19444444444444442,0.9885353299017314
adv-s3,slo_aware,1.2,202,0.5,4,3.0,1.0,1.0,1.0,False,advertised,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,364.55010610654193,0.8189485378916288,4.240213067563673,5.476543631843015,0.008738336081005807,0.009348180409343402,0.009506440249312357,3.8590907481175236,7.574707543493787,9.07243408051363,0.7926315311760845,4.216829832563235,5.453407212842649,5.7393322919942875,0.9222222222222223,0.8541666666666666,1.0,0.14583333333333337,0.9938519447929736
adv-s4,slo_aware,1.2,3407,0.5,4,3.0,1.0,1.0,1.0,False,advertised,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,1,False,1.5,1.0,15.0,180,180,0,0,0,0,365.5039823255972,1.2228269159732008,4.774661679442943,5.50131797744325,0.00876516352757613,0.009365183513446894,0.009443812740661727,4.326979537756415,8.257320444809011,10.027174617809578,1.1983679939730791,4.748374248441905,5.478094080443043,5.775489587484117,0.9,0.75,1.0,0.25,0.98
