request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,batch,13170.351665554,13170.352589711,13170.352611065,13170.374550399,13176.618154896,1832,671,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,860,860,stop
request-000001,1,interactive,13171.554517051247,13171.555605995,13171.55563604,13171.58086128,13174.842912503,78,359,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,514,514,stop
request-000002,2,interactive,13172.417033782556,13172.417734921,13172.417761505,13172.442361483,13175.89559372,220,367,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1356,1356,stop
request-000003,3,interactive,13172.855934439884,13172.856902016,13172.856933671,13172.886136653,13176.382742708,185,366,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,425,425,stop
request-000004,4,batch,13173.039897527375,13173.041213985,13174.842925439,13174.866504201,13178.324445763,587,359,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1899,1899,stop
request-000005,5,batch,13173.98087721744,13173.981991548,13175.895613449,13175.927151147,13178.159197396,1520,233,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,233,233,length
request-000006,6,interactive,13176.883402820504,13176.884150948,13176.884194795,13176.916544615,13179.486821903,115,278,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,278,278,length
request-000007,7,batch,13177.348548014841,13177.349016465,13177.349041916,13177.3755771,13180.745801466,917,352,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,382,382,stop
request-000008,8,interactive,13178.934355895046,13178.934681239,13178.934721642,13178.962437176,13182.549394497,181,352,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1517,1517,stop
request-000009,9,interactive,13178.96497690768,13178.965602857,13178.965645681,13178.992215814,13182.600910292,113,354,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,634,634,stop
request-000010,10,interactive,13179.590246152398,13179.590855863,13179.590906149,13179.621712331,13183.344182525,168,366,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,546,546,stop
request-000011,11,interactive,13179.777818614048,13179.778319415,13180.745821563,13180.774372371,13184.472998786,114,367,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,2048,2048,stop
request-000012,12,batch,13180.345939018234,13180.346562428,13182.549409804,13182.57946608,13186.61668316,727,414,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,721,721,stop
request-000013,13,batch,13181.133293868883,13181.133902602,13182.600923636,13182.631127902,13186.177927552,1534,359,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1229,1229,stop
request-000014,14,batch,13182.747714724721,13182.748053004,13183.344202615,13183.372872053,13186.55461583,775,328,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1587,1587,stop
request-000015,15,interactive,13183.364520696281,13183.364970042,13184.473024458,13184.498329023,13187.863979217,67,359,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,803,803,stop
request-000016,16,batch,13185.057295061571,13185.057986018,13186.177944958,13186.202350234,13187.652839567,790,164,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,164,164,length
request-000017,17,interactive,13185.387030176485,13185.387975943,13186.554631159,13186.579971493,13189.901982233,67,359,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1092,1092,stop
request-000018,18,interactive,13185.501560200839,13185.502212709,13186.616701632,13186.641645038,13189.518056829,197,313,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1707,1707,stop
request-000019,19,interactive,13186.022718079485,13186.023298374,13187.652855174,13187.677812594,13191.093724438,73,366,success,,fcfs,a8c037ac7acfacd656f010c1bcad8dc2c9896890dbfbc2df5ec2d7445cc88268,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1457,1457,stop
