request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,13899.258699631,13899.259642979,13899.259662563,13899.280118771,13903.610643465,254,439,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1132,1132,stop
request-000001,1,batch,13899.41354114453,13899.414655429,13899.414688823,13899.44504836,13902.659116314,1018,328,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,543,543,stop
request-000002,2,batch,13900.548946353008,13900.549456353,13900.549494999,13900.574036232,13904.307137468,589,369,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,624,624,stop
request-000003,3,interactive,13901.118532364504,13901.119181824,13901.119221159,13901.144019801,13905.169758692,202,400,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,672,672,stop
request-000004,4,interactive,13901.742251469539,13901.74298387,13902.659132038,13902.686576205,13906.082499677,249,351,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1015,1015,stop
request-000005,5,batch,13904.316519710892,13904.316954745,13904.316980586,13904.34241268,13907.660964202,1990,359,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,2048,1536,stop
request-000006,6,batch,13904.487744576687,13904.488086948,13904.488116119,13904.517780122,13907.835471981,719,359,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,364,364,stop
request-000007,7,interactive,13904.568717677232,13904.569180452,13905.169772515,13905.195983829,13908.498662243,137,359,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1330,1330,stop
request-000008,8,interactive,13904.769826573383,13904.770172622,13906.082517032,13906.110453023,13909.346666938,255,352,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,938,938,stop
request-000009,9,batch,13906.358660630725,13906.358988647,13907.660976872,13907.687224841,13911.01740334,1847,359,success,,fcfs,806038707b08652cf37cd7154ea2ccdbe8679bae9dab1ba746f212be95b64df8,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=f522d199b3d759f687c9ed05be7ef342de9ceb597c5911e0b197e62626583f50;vllm=unavailable;torch=unavailable,1086,1086,stop
