request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,15940.158270766,15940.159411391,15940.159441545,15940.184686813,15944.038479021,97,372,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,372,372,length
request-000001,1,interactive,15940.207033911725,15940.207363873,15940.20740036,15940.24091748,15950.008067872,185,943,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,943,943,length
request-000002,2,interactive,15940.325678531784,15940.326681892,15940.326712638,15940.353187256,15942.529314614,91,208,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,208,208,length
request-000003,3,interactive,15940.527315659036,15940.527747581,15940.527779169,15940.555928634,15949.615457336,215,875,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,875,875,length
request-000004,4,batch,15940.830235620804,15940.830990423,15942.529335897,15942.560354111,15963.879167663,1658,2048,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,2048,2048,length
request-000005,5,batch,15942.392402587462,15942.393106028,15944.038493008,15944.067434111,15950.746932931,1513,645,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,645,645,length
request-000006,6,interactive,15942.625903339538,15942.626661299,15949.615479299,15949.645099676,15963.41138084,191,1316,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1316,1316,length
request-000007,7,interactive,15944.189222773663,15944.190665002,15950.008085914,15950.038459164,15956.962115703,185,671,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,671,671,length
request-000008,8,interactive,15945.214281619794,15945.214556008,15950.746950747,15950.776605881,15957.476695907,65,649,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,649,649,length
request-000009,9,interactive,15945.649935193862,15945.650245186,15956.96213465,15956.992127079,15970.02948403,124,1229,success,,fcfs,3b526992383c671a4c17cc2798e2a45fa450cfb9e94b33a6caf8321a50df4c2a,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1229,1229,length
