request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,20242.507459522,20242.508691627,20242.508714208,20242.531207699,20252.433618181,254,1024,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1132,1024,length
request-000001,1,batch,20242.66230103553,20242.663025441,20242.663069338,20242.686244794,20247.971727848,1018,543,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,543,543,length
request-000002,2,batch,20243.797706244008,20243.798747558,20243.79878239,20243.826721087,20250.01130647,589,624,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,624,624,length
request-000003,3,interactive,20244.3672922555,20244.368112138,20244.368139442,20244.393396164,20250.991818629,202,672,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,672,672,length
request-000004,4,interactive,20244.991011360537,20244.991870835,20247.971742262,20247.998922518,20257.88563448,249,1015,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1015,1015,length
request-000005,5,batch,20247.56527960189,20247.566336999,20250.011323098,20250.042204975,20260.157366502,1990,1024,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,2048,1024,length
request-000006,6,batch,20247.736504467688,20247.737015379,20250.991836842,20251.019511618,20254.355174646,719,364,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,364,364,length
request-000007,7,interactive,20247.81747756823,20247.818200829,20252.433641304,20252.461689941,20262.928246716,137,1024,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1330,1024,length
request-000008,8,interactive,20248.018586464383,20248.019265357,20254.355190831,20254.381212505,20264.20594259,255,938,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,938,938,length
request-000009,9,batch,20249.607420521726,20249.607599247,20257.885663385,20257.915985037,20268.61496754,1847,1024,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1086,1024,length
request-000010,10,interactive,20251.311586463573,20251.311866387,20260.157389182,20260.188891616,20271.692372312,134,1118,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,1118,1118,length
request-000011,11,interactive,20251.317005704135,20251.317982475,20262.928267534,20262.959745979,20268.254255571,64,515,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,515,515,length
request-000012,12,interactive,20252.001552784364,20252.002619665,20264.20596312,20264.234788559,20268.24377673,83,390,success,,fcfs,35ac786f9aef8024999aa07ace3f798ae7a1794173f9bf291a698494fabc0bc2,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=3c9a47ac815eb07016a672edb1b077845b5c406e405727cd95141c58297a0497;vllm=unavailable;torch=unavailable,390,390,length
