request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,1219.602917568,1219.604381979,1219.604561391,1219.651092815,1226.891636328,254,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,1132,512,length
request-000001,1,batch,1220.6959164870289,1220.696514991,1220.696569967,1220.741369703,1228.42779367,1018,543,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,543,543,length
request-000002,2,batch,1228.710541488055,1228.712195758,1228.712255895,1228.751860749,1236.153911041,589,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,624,512,length
request-000003,3,interactive,1232.7311486280248,1232.731830561,1232.731886328,1232.777432333,1242.40440926,202,672,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,672,672,length
request-000004,4,interactive,1237.133871722389,1237.134931824,1237.134979825,1237.175949376,1251.761355128,249,1015,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,1015,1015,length
request-000005,5,batch,1255.305176955478,1255.305488574,1255.305556528,1255.342674446,1262.753385929,1990,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,2048,512,length
request-000006,6,batch,1256.5138230669681,1256.514738674,1256.514795858,1256.560720431,1261.869130336,719,364,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,364,364,length
request-000007,7,interactive,1257.085397894335,1257.085560904,1257.085608078,1257.123163938,1264.522081259,137,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,1330,512,length
request-000008,8,interactive,1258.5049901024704,1258.506760027,1258.506808725,1258.553437128,1265.869310558,255,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,938,512,length
request-000009,9,batch,1269.7202893307665,1269.72158115,1269.721642701,1269.761994024,1277.045782997,1847,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,1086,512,length
request-000010,10,interactive,1281.7496959791088,1281.750786953,1281.750860042,1281.786765542,1298.20492,134,1118,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,1118,1118,length
request-000011,11,interactive,1281.7879494419108,1281.789082589,1281.789144626,1281.829647476,1289.597022356,64,515,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,515,515,length
request-000012,12,interactive,1286.6200464788058,1286.621071243,1286.62113277,1286.664825353,1292.409772945,83,390,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,390,390,length
request-000013,13,batch,1288.3403142345874,1288.340717008,1288.340762298,1288.379559342,1292.565235796,566,290,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,290,290,length
request-000014,14,interactive,1292.5498161514242,1292.550165098,1292.550201948,1292.5914216,1299.996462103,170,512,success,,fcfs,a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=a0e6792fcf6ad7a483b8205dfac4bb06fb865e3447b9adb30a036a61c129756c;vllm=unavailable;torch=unavailable,1881,512,length
