request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,25098.138325134,25098.139785474,25098.139934363,25098.198046758,25115.105906506,254,1132,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,1132,1132,length
request-000001,1,batch,25099.23132405303,25099.23150101,25099.23155681,25099.275892148,25107.448731926,1018,543,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,543,543,length
request-000002,2,batch,25107.245949054057,25107.246429392,25107.246487939,25107.283157223,25116.558432492,589,624,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,624,624,length
request-000003,3,interactive,25111.266556194027,25111.266912158,25111.266971368,25111.313207368,25121.298590676,202,672,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,672,672,length
request-000004,4,interactive,25115.66927928839,25115.669589788,25115.669645824,25115.705946333,25130.609280761,249,1015,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,1015,1015,length
request-000005,5,batch,25133.84058452148,25133.841185612,25133.841338085,25133.883781254,25156.957506384,1990,1536,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,2048,1536,length
request-000006,6,batch,25135.04923063297,25135.050175289,25135.050218718,25135.092291902,25140.679244964,719,364,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,364,364,length
request-000007,7,interactive,25135.620805460338,25135.621833673,25135.621907799,25135.679095607,25155.719367689,137,1330,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,1330,1330,length
request-000008,8,interactive,25137.040397668472,25137.040873636,25137.040920051,25137.091409098,25151.255166602,255,938,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,938,938,length
request-000009,9,batch,25148.25569689677,25148.256586932,25148.256631367,25148.299012684,25164.39737722,1847,1086,success,,fcfs,fd3c1a1b5f11ac52a806188f95378b619b6dfadb145d22d5d045915faad0bfb7,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,1086,1086,length
