request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version,requested_output_tokens,backend_max_output_tokens,finish_reason
request-000000,0,interactive,23841.800438696,23841.802008665,23841.802166289,23841.850786454,23871.938789217,207,2048,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,2048,2048,length
request-000001,1,batch,23845.342631918924,23845.342952563,23845.343037635,23845.393072864,23852.97983506,900,512,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,512,512,length
request-000002,2,batch,23850.168887104,23850.169543974,23850.169631309,23850.205801115,23853.082314817,704,194,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,194,194,length
request-000003,3,batch,23865.34416138049,23865.344478363,23865.344554342,23865.39455712,23877.246916523,1811,797,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,797,797,length
request-000004,4,interactive,23869.030657587537,23869.032176061,23869.032252269,23869.079499663,23899.599615901,67,2048,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,2048,2048,length
request-000005,5,batch,23873.20097522749,23873.202577663,23873.202636315,23873.251017615,23890.516997971,1180,1159,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,1159,1159,length
request-000006,6,batch,23878.40826881213,23878.409211756,23878.409267943,23878.4446768,23880.161097809,1535,116,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,116,116,length
request-000007,7,interactive,23879.609154085978,23879.609561393,23879.609631388,23879.653063985,23910.187221828,205,2048,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,2048,2048,length
request-000008,8,interactive,23883.8282874717,23883.828626331,23883.82868386,23883.866528226,23896.370638706,122,838,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,838,838,length
request-000009,9,interactive,23889.674966008068,23889.676466965,23890.517044149,23890.559216445,23891.733397794,239,79,success,,fcfs,3c163e0f32291ccf82db02f8d0d2be1bb480b9c6efda751c90dd0a088912e24e,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=bd93f7723b71aa20d54ce38f97f96c5dec6ae027d702fb7df396dce272836d0a;vllm=unavailable;torch=unavailable,79,79,length
