label,policy,request_rate_rps,random_seed,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,length_source,length_estimator_path,clip_enabled,clip_max_tokens,clip_source,clip_estimator_path,length_model,prompt_kinds,prompt_kind_fractions,log_mu_by_kind,log_sigma,advertised_cap_tokens,clamp_min,clamp_max,force_exact_output_tokens,aging_levels,adaptive_ceiling,ceiling_margin,ceiling_floor_s,ceiling_cap_s,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,queue_wait_mean_s,longest_queue_wait_s,clip_applied_count,clip_applied_rate,realized_truncation_count,realized_truncation_rate,mean_cap_reduction_tokens,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
no-clip-s1,fcfs,0.17,20250825,0.5,4,30.0,1.0,1.0,1.0,False,true,,False,2048,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,175.1843364603599,0.049151555522257695,21.874728084509115,24.946591577521758,0.014886738167737232,0.015104668619374827,0.015311693702479657,20.08325804566266,48.37345275851112,51.82869909156943,0.0015655205279472284,21.83251174751058,24.90402592152168,6.509204931804208,24.90402592152168,0,0.0,0,0.0,,0.3194444444444444,0.14285714285714285,0.5666666666666667,0.4238095238095238,0.7370360533829095
no-clip-s2,fcfs,0.17,11,0.5,4,30.0,1.0,1.0,1.0,False,true,,False,2048,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,119.34469652204176,0.04601998259022366,7.610046068879456,11.609542513520864,0.01492427999251509,0.01505197340587283,0.015136568987145438,10.43352810414217,38.29760085287853,42.15958794852122,0.000989071591902757,7.563111998879322,11.565642109522742,0.995521764889064,11.565642109522742,0,0.0,0,0.0,,0.5416666666666666,0.42105263157894735,1.0,0.5789473684210527,0.8576470588235293
no-clip-s3,fcfs,0.17,202,0.5,4,30.0,1.0,1.0,1.0,False,true,,False,2048,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,145.2428591501549,0.045228360904729925,3.592450486819871,10.636126993460493,0.014982608577341499,0.015199174026100501,0.01528034323988675,12.450542974296695,34.05308124267685,41.206321434459824,0.0008364973909920081,3.5491495478199795,10.591989161461242,0.8311464878895802,10.591989161461242,0,0.0,0,0.0,,0.5,0.21428571428571427,0.9,0.6857142857142857,0.7253218884120172
clip1536-s1,fcfs,0.17,20250825,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,1536,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,168.23074168715894,0.049628758348262636,16.90944457403748,17.84876081352195,0.015012726664281217,0.015320885860340288,0.015549987949412427,19.333254181037773,41.72743625980365,46.936241345567396,0.0011023386614397168,16.862024309037224,17.80529458752062,5.418960420970911,17.80529458752062,12,0.16666666666666666,12,0.16666666666666666,470.25,0.3333333333333333,0.14285714285714285,0.6,0.45714285714285713,0.7253218884120173
clip1536-s2,fcfs,0.17,11,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,1536,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,115.42589996774271,0.04784524750721175,7.940515967875399,11.906395596517541,0.015007446739346945,0.015224344235476028,0.01565473090084573,10.689300088801247,31.841594049725245,34.841917336521874,0.0009569520043442026,7.897888604875334,11.861759312520007,0.9956549800959288,11.861759312520007,9,0.125,9,0.125,512.0,0.5416666666666666,0.42105263157894735,1.0,0.5789473684210527,0.8576470588235293
clip1536-s3,fcfs,0.17,202,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,1536,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,145.18148265776776,0.046421048249612795,3.527209634819883,8.733780397458759,0.015030289125989074,0.01523925820097729,0.015523744373610128,12.548573561300145,34.11856318267746,39.550374866459606,0.0008725659681658726,3.4837852058190037,8.690929920456256,0.7471771155695327,8.690929920456256,3,0.041666666666666664,3,0.041666666666666664,266.0,0.5416666666666666,0.21428571428571427,1.0,0.7857142857142857,0.7048780487804878
clip1024-s1,fcfs,0.17,20250825,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,1024,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,155.49712937536987,0.04685264953150181,5.709049006378336,9.064706040800957,0.015063033616729714,0.015295845357326199,0.0153975125224996,15.157578400609054,32.50902867356854,35.50860979080244,0.0011518215760588646,5.66343669737762,9.015065796800627,1.2293273000965808,9.015065796800627,24,0.3333333333333333,24,0.3333333333333333,755.125,0.5416666666666666,0.21428571428571427,1.0,0.7857142857142857,0.7048780487804878
clip1024-s2,fcfs,0.17,11,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,1024,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,101.43120780582316,0.04531823380239075,7.7719978515197,7.934604424877762,0.01500555161538404,0.015365028788855336,0.015557356089723329,10.209523019802873,23.57441249187832,31.940377174727473,0.0008330440723511856,7.728435320517747,7.889657806877949,0.7651836016527037,7.889657806877949,18,0.25,18,0.25,728.5,0.5416666666666666,0.42105263157894735,1.0,0.5789473684210527,0.8576470588235293
clip1024-s3,fcfs,0.17,202,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,1024,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,112.35081147713029,0.04441390049032634,0.05281704178196378,0.26333962928765686,0.01504260712499672,0.015303939098905156,0.01565334152290616,12.490537940298964,15.86320072496892,30.5293861534592,0.000754653818148654,0.001932607076014392,0.20503056728921365,0.003716113416178107,0.20503056728921365,33,0.4583333333333333,33,0.4583333333333333,647.0,0.5833333333333334,0.2857142857142857,1.0,0.7142857142857143,0.7641509433962261
clip512-s1,fcfs,0.17,20250825,0.5,4,30.0,1.0,1.0,1.0,False,true,,True,512,learned,results/artifacts/length-predictor.json,realistic,"[""short"", ""medium"", ""long""]","[0.5, 0.35, 0.15]","[6.2, 7.0, 7.8]",0.7,2048,8,2048,True,1,False,1.5,1.0,15.0,72,72,0,0,0,0,122.94713591693086,0.044146869236556086,2.435622858889701,4.637486260803598,0.014474007185909825,0.015053151982387217,0.0154306411597799,7.488325456233724,29.783814683803485,30.56714098580369,0.0009281242366796505,2.3936550478897516,4.595896260803556,0.376717608388197,4.595896260803556,30,0.4166666666666667,30,0.4166666666666667,1078.1,0.7916666666666666,0.6428571428571429,1.0,0.3571428571428571,0.954873646209386
