request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,4378.617639183,4378.618721641,4378.618746764,4378.636397454,4382.72215325,254,526,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000001,1,batch,4378.927322210058,4378.928039846,4378.928084123,4378.948322354,4381.546598091,1018,334,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000002,2,batch,4381.198132627016,4381.199186549,4381.199218851,4381.221336338,4383.970348586,589,352,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000003,3,interactive,4382.337304650007,4382.338154841,4382.338188355,4382.359797711,4384.964232533,202,334,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000004,4,interactive,4383.584742860077,4383.585075179,4383.585108231,4383.611446001,4386.259209861,249,343,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000005,5,batch,4388.733279342786,4388.734273776,4388.734338366,4388.752545576,4404.382227122,1990,2048,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000006,6,batch,4389.075729074375,4389.076799713,4389.076830519,4389.100563239,4391.545494424,719,323,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000007,7,interactive,4389.237675275462,4389.23814624,4389.238181429,4389.25925501,4391.947492851,137,359,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000008,8,interactive,4389.639893067767,4389.640736676,4389.640786419,4389.669309541,4392.314368683,255,359,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000009,9,batch,4392.817561182451,4392.818461229,4392.818497022,4392.83706638,4395.344774157,1847,359,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000010,10,interactive,4396.225893066148,4396.226532423,4396.226563567,4396.245703016,4399.121728091,134,366,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000011,11,interactive,4396.236731547275,4396.237944365,4396.23797375,4396.259196643,4399.019565044,64,352,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000012,12,interactive,4397.605825707728,4397.60672445,4397.606764242,4397.63290808,4400.679951861,83,366,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000013,13,batch,4398.0932349052,4398.09410997,4399.019592152,4399.044417183,4401.501298629,566,290,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000014,14,interactive,4399.285927114971,4399.286819556,4399.286852853,4399.30724512,4402.278463077,170,352,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
request-000015,15,interactive,4399.3504730117165,4399.350493495,4400.679969879,4400.7033275,4403.685576242,116,365,success,,slo_aware,d0cdbe63ffdb3153efd9793f65b6c2f54fd09b281b28d0fbac063b7f7d1d6f39,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=ceb5b302c4a6ffa290aea25bd37148537114053157d7e8871093870821b32c10;vllm=unavailable;torch=unavailable
