request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,batch,2056.284798073,2056.286116596,2056.286149005,2056.312735182,2060.117109268,2035,473,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000001,1,batch,2056.3033790546233,2056.303949039,2056.303978198,2056.328191758,2057.966266558,1591,199,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000002,2,batch,2056.4396276796406,2056.439858879,2056.439894523,2056.461455574,2058.533634197,892,254,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000003,3,interactive,2056.50797800102,2056.508592534,2056.508629623,2056.535915648,2056.977302308,118,55,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000004,4,batch,2056.5828242936245,2056.583690164,2056.583726332,2056.604669725,2057.694388686,2046,131,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000005,5,batch,2056.891736482587,2056.89203249,2056.892078979,2056.917325789,2059.017331653,1040,257,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000006,6,batch,2056.912283466482,2056.912906135,2056.912942897,2056.933707134,2059.916494841,589,370,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000007,7,batch,2056.9220002385473,2056.922689247,2056.92271879,2056.950687554,2059.791725986,578,352,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000008,8,batch,2056.946133306086,2056.946976183,2056.947014714,2056.976617335,2058.756885426,757,218,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000009,9,interactive,2057.136793392967,2057.136952947,2057.136978684,2057.157649062,2057.525466537,68,44,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000010,10,batch,2057.3412933059885,2057.341733928,2057.341758911,2057.370278121,2060.447935356,611,388,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000011,11,batch,2057.3419436148565,2057.342446409,2057.342461489,2057.370064896,2059.072852039,1163,211,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
request-000012,12,batch,2057.4240892644834,2057.425059855,2057.425092172,2057.448421987,2059.096634143,1996,205,success,,fcfs,4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=4640cb31550dbc50e17204cde82ba4b5913ab4de4361d5338817a264c7368dc3;vllm=unavailable;torch=unavailable
