request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,interactive,1840.415129728,1840.416081613,1840.416103766,1840.44573409,1841.37551527,254,118,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000001,1,batch,1840.4337107096235,1840.434228604,1840.434269824,1840.46004257,1842.056498632,1591,199,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000002,2,batch,1840.569959334641,1840.570263194,1840.570294799,1840.591448586,1842.634829995,892,254,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000003,3,interactive,1840.6383096560205,1840.638527656,1840.638566527,1840.663068261,1841.09585341,118,55,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000004,4,batch,1840.7131559486247,1840.713916623,1840.713951023,1840.734634676,1841.787230786,2046,131,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000005,5,batch,1841.0220681375872,1841.023128084,1841.023160237,1841.045871139,1843.122645026,1040,257,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000006,6,batch,1841.0426151214824,1841.042767806,1841.042806424,1841.069242094,1844.766035824,589,459,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000007,7,batch,1841.0523318935477,1841.053044222,1841.053081247,1841.077016202,1843.919974578,578,352,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000008,8,interactive,1841.076464961086,1841.077121977,1841.077145633,1841.103531845,1841.536330016,94,54,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000009,9,interactive,1841.267125047967,1841.267464068,1841.267490855,1841.28679461,1841.641405122,68,44,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000010,10,batch,1841.471624960989,1841.47273502,1841.472760231,1841.503206224,1843.760057986,611,280,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000011,11,batch,1841.4722752698565,1841.472773748,1841.472785568,1841.50274759,1843.203579745,1163,211,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000012,12,batch,1841.5544209194836,1841.554642265,1841.554664119,1841.575239444,1843.227196232,1996,205,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000013,13,batch,1841.583665471332,1841.584545626,1841.58457086,1841.607624158,1844.43979708,798,352,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000014,14,batch,1841.6552270039183,1841.65590196,1841.655926829,1841.680687297,1844.367948441,1990,334,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000015,15,batch,1841.659099757723,1841.659899469,1841.659918389,1841.680740609,1844.048026772,541,294,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000016,16,batch,1841.8560765597808,1841.857122879,1841.857147616,1841.884224634,1844.431841681,945,317,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000017,17,batch,1841.85939321367,1841.859609766,1841.85962838,1841.883898894,1843.000966878,719,139,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000018,18,batch,1841.9214214972867,1841.921814061,1841.921845461,1841.94144957,1845.156091309,1973,400,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000019,19,batch,1841.931666635815,1841.932029714,1841.932054832,1841.956542251,1844.417038727,739,306,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000020,20,interactive,1841.9444157474838,1841.944743281,1841.944766926,1841.965200989,1842.985348636,137,127,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000021,21,interactive,1841.9497903155466,1841.95030011,1842.056511828,1842.080606298,1842.346708414,157,34,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000022,22,interactive,1841.9515427415333,1841.952429936,1842.346733671,1842.369949606,1843.001429043,255,79,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000023,23,batch,1842.1346961225472,1842.135686998,1842.634849811,1842.65795357,1845.701824074,1132,378,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000024,24,batch,1842.1396791058921,1842.139959024,1842.985362714,1843.009428833,1845.083641171,967,259,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000025,25,batch,1842.2523494657344,1842.252910373,1843.000982317,1843.025591596,1844.856160077,539,229,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000026,26,batch,1842.2906034082202,1842.291680636,1843.00143977,1843.02471156,1846.66854946,1577,452,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000027,27,batch,1842.3144844595884,1842.315489959,1843.122659375,1843.145920209,1845.766678445,1957,326,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000028,28,batch,1842.44346845177,1842.443640472,1843.203593289,1843.226389757,1844.248317377,700,128,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000029,29,interactive,1842.7367293950404,1842.737790838,1843.227210653,1843.250656586,1843.6645976,193,52,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000030,30,batch,1842.7518229346065,1842.752174937,1843.664615908,1843.687795164,1845.287350743,1279,200,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000031,31,interactive,1842.8294166407593,1842.830298303,1843.76007212,1843.783491433,1844.383223132,213,76,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000032,32,batch,1843.1354943369345,1843.135800085,1843.919988182,1843.941880717,1846.789579621,1071,352,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000033,33,batch,1843.5179579160204,1843.519015737,1844.048040469,1844.071260189,1846.59482467,994,313,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000034,34,batch,1843.8175452008181,1843.818425676,1844.248330315,1844.271078657,1846.857820956,761,319,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000035,35,batch,1843.8189774445743,1843.819526283,1844.367962278,1844.390719109,1846.660297071,1493,281,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000036,36,interactive,1843.9231523767899,1843.923400616,1844.383236447,1844.410891501,1845.123873319,165,90,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000037,37,batch,1843.9469542426918,1843.947216268,1844.417057926,1844.439044707,1847.11071689,1575,328,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
request-000038,38,batch,1844.1851822052508,1844.186167074,1844.431853529,1844.454857124,1846.432517729,1975,245,success,,fcfs,16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=16c5235ef1180041b49c665d75aa13f2123952db38f4fa4179b30e7047ec2619;vllm=unavailable;torch=unavailable
